"ONTOLOGY","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"BP","GO:0140053","mitochondrial gene expression","121/5512","169/18986",0.715976331360947,2.46616956226759,12.2451467105706,1.88159381131426e-30,1.19876341718832e-26,1.10697134857215e-26,"84545/11222/122704/28957/54931/116540/84311/51649/64949/92170/65003/116541/28977/51067/708/28958/740/65008/51642/51264/64216/57129/219927/283459/79736/54460/90480/55157/64981/64968/51258/65080/64928/51263/64960/10102/51021/64965/51069/10573/51023/54148/64951/78988/56945/118487/29093/51373/55005/5188/63875/7019/51250/56652/6832/84275/10128/55168/51650/51204/65993/64979/9553/63931/84300/64978/64983/54802/3028/55037/3396/124995/10240/54938/128308/55173/6182/10352/64963/115416/9692/6472/79072/51081/7978/29074/10884/51001/6150/29088/60493/55052/285367/51073/65005/5442/5018/26589/23107/6183/9801/80324/9238/55278/7818/57570/4528/79590/57038/63899/84340/84769/54998/84881/10922/54948/87178/51318/28998/26995/60528",121
"BP","GO:0032543","mitochondrial translation","101/5512","131/18986",0.770992366412214,2.65567145658605,12.1620889346397,4.44182286750819e-30,1.41494267444473e-26,1.30659726350017e-26,"84545/11222/122704/28957/54931/116540/84311/51649/64949/92170/65003/116541/28977/51067/708/28958/740/65008/51642/51264/57129/219927/283459/54460/90480/55157/64981/64968/51258/65080/64928/51263/64960/10102/51021/64965/51069/10573/51023/54148/64951/78988/56945/118487/29093/51373/55005/5188/63875/10128/55168/51650/51204/65993/64979/9553/63931/84300/64978/64983/55037/3396/124995/10240/54938/128308/55173/6182/10352/64963/115416/6472/79072/51081/29074/10884/6150/29088/55052/285367/51073/65005/5018/26589/23107/6183/9801/55278/7818/4528/79590/57038/63899/84340/84769/54998/84881/54948/51318/28998/26995",101
"BP","GO:0002181","cytoplasmic translation","105/5512","165/18986",0.636363636363636,2.19194484760523,9.83531829002842,2.38615960431225e-20,5.06740761302446e-17,4.67938457140393e-17,"10642/6201/6155/6189/6143/6231/6157/7311/6169/6227/6223/6188/6209/25873/6167/6235/6228/6170/6224/6175/6204/6181/6165/6142/6168/6187/6152/6160/9349/6210/6202/6233/6171/51121/6218/6176/2197/8562/4736/200916/6193/10480/6128/6206/6154/3921/6222/5936/6232/6164/6138/6125/6147/11224/6207/6205/6208/6161/1973/8892/8665/6203/6141/4904/6191/6230/56339/6130/6146/8666/6158/10605/6136/9045/6159/8668/80315/54505/6156/6229/23521/6122/1819/51389/6137/6132/6124/6134/6217/7555/10399/6133/25946/132864/8661/27335/6173/6135/6144/6139/3184/8669/1967/4733/6129",105
"BP","GO:0022613","ribonucleoprotein complex biogenesis","232/5512","492/18986",0.471544715447154,1.62422858626264,8.97268479505332,6.13704038672453e-18,9.7747710759555e-15,9.02629440036932e-15,"51013/10556/6201/10360/6155/6628/6189/6895/6635/51504/9326/6169/6227/6637/6223/6633/6209/10528/6228/6629/57819/6632/5901/6165/6041/708/10436/83443/6152/10713/6210/6202/51202/6233/64216/57418/51121/6218/11157/2197/8562/79833/6631/64745/10557/51118/6193/10480/4927/6206/135295/10799/55505/11056/6154/3921/25983/6232/6636/51639/8161/4869/5393/401466/55003/6431/6125/56902/11224/404672/8683/6207/55651/5303/8575/388524/6205/51406/8850/79760/4809/6208/10248/8607/8487/54433/10659/121053/10171/55813/51729/8665/6203/54663/55299/51187/26574/84844/79979/55319/11103/84154/29777/25804/3692/10438/10419/51096/10728/6191/6230/84811/51367/6130/51042/8175/128061/10262/22984/51340/26824/8666/55720/6936/120379/25926/192669/23064/9045/11137/56915/8668/11340/51154/4839/10969/113000/9221/6607/115416/115939/11171/2091/29081/54505/51491/100130932/92345/6229/54555/96764/23521/2483/51081/2971/6880/27043/56342/51001/57035/88745/8559/57461/55702/26284/27339/55759/90441/92856/79029/11168/79033/23029/11218/79954/10412/705/2752/9136/84946/79050/6217/5036/55272/51388/22803/57455/103/10078/23560/10978/10856/55011/83732/83939/545/8661/55035/27335/10600/26747/10946/9669/6135/10607/166378/114049/29889/63899/55781/10569/8996/54606/84128/84769/23016/84881/7520/8669/10181/10514/26149/65083/1662/10775/6129/10200/55646/80135/27349/1653/55794",232
"BP","GO:0042254","ribosome biogenesis","164/5512","317/18986",0.517350157728707,1.78200473415044,8.98028498815304,1.07580093364825e-17,1.3707855496546e-14,1.26582135119159e-14,"51013/10556/6201/10360/6155/6189/51504/9326/6169/6227/6223/6209/10528/6228/5901/6165/6041/708/10436/6152/6210/6202/51202/6233/64216/57418/51121/6218/11157/2197/64745/10557/51118/6193/4927/6206/10799/55505/11056/6154/3921/25983/6232/4869/5393/401466/55003/6125/56902/11224/404672/6207/55651/5303/388524/6205/51406/8850/4809/6208/10248/54433/10171/55813/51729/6203/54663/55299/51187/26574/79979/55319/11103/84154/29777/3692/10438/51096/6191/6230/51367/6130/51042/128061/22984/55720/120379/25926/9045/11137/56915/11340/51154/4839/10969/113000/9221/115416/115939/2091/29081/54505/51491/92345/6229/54555/2483/51081/2971/27043/56342/51001/88745/26284/55759/90441/92856/79029/79033/23029/79954/10412/705/2752/9136/84946/79050/6217/5036/55272/51388/22803/57455/23560/55011/83732/83939/55035/10600/9669/6135/10607/166378/114049/29889/63899/55781/54606/84128/84769/23016/84881/7520/10514/26149/65083/1662/10775/6129/10200/55646/80135/27349/55794",164
"BP","GO:0097250","mitochondrial respirasome assembly","77/5512","114/18986",0.675438596491228,2.32653795228274,9.08604273396332,1.66590518327116e-17,1.76891365377009e-14,1.63346387180746e-14,"79133/4713/4714/9167/29078/728568/54949/51079/28958/4725/4710/4695/126328/1347/57001/4717/55744/79064/55967/4728/493753/283951/4716/91647/10063/54539/790955/4707/84275/4704/4715/51287/51204/374291/192286/4711/84300/647087/513/4722/284184/51241/54968/7386/4706/135154/4696/55471/79072/729515/137682/84987/57226/55863/91942/6341/51295/389203/84334/154791/4694/5018/4705/4708/4700/55572/55101/84233/6834/440957/25994/617/644096/25880/25915/4724/4709",77
"BP","GO:0033108","mitochondrial respiratory chain complex assembly","70/5512","103/18986",0.679611650485437,2.34091197317063,8.72760370788146,2.92990329582467e-16,2.66663055681414e-13,2.46244052937805e-13,"79133/4713/4714/29078/728568/54949/51079/28958/4725/4710/4695/126328/57001/4717/55744/79064/55967/4728/493753/283951/4716/10063/54539/7019/790955/4707/84275/4704/4715/51287/51204/374291/4711/84300/647087/4722/284184/51241/7386/4706/135154/4696/55471/79072/137682/84987/57226/55863/91942/6341/51295/389203/84334/4694/5018/4705/4708/4700/55572/55101/84233/6834/440957/79145/617/644096/25880/25915/4724/4709",70
"BP","GO:0007005","mitochondrion organization","207/5512","452/18986",0.457964601769911,1.57745209165521,7.94716501007372,1.68511564510736e-14,1.34198397187238e-11,1.23922517638224e-11,"79133/55187/10935/26521/4713/4714/140823/9167/29078/728568/6773/54949/120892/51079/28958/4725/100188893/2553/4710/11331/4000/664/56993/4695/126328/1347/10000/26517/2034/57001/4717/51499/3980/55744/23230/79064/54832/55967/4728/64429/493753/26520/2730/283951/10059/2631/4716/26355/27166/5339/10899/282991/91647/10063/51142/84303/54708/26073/1678/81892/51566/54539/158234/6742/7019/29928/192111/790955/1763/56652/4707/6832/84275/4704/4715/89839/51287/55156/84266/8834/51204/10962/374291/5245/51024/1909/8936/4124/56947/2876/192286/858/4711/84300/647087/125988/55288/57190/3082/513/10060/3028/55486/4722/284184/51241/54968/7386/4706/135154/4696/5027/10017/55471/55170/8192/79072/23682/26519/729515/137682/84987/5898/57226/219736/55863/91942/66008/6341/51295/8739/389203/84334/374986/79568/154791/4580/8326/4694/292/79823/246269/201164/1291/9927/4205/5018/79784/401505/54332/54543/4534/22906/64422/6548/2055/2729/4705/9804/538/84895/4708/55750/4700/4170/10449/92667/219293/7351/84902/581/55572/55101/137392/84233/23409/6834/440957/25994/4358/8996/79145/23788/617/27429/440574/5138/572/79135/10572/10981/57835/644096/87178/5310/5910/3303/3791/9650/25880/25915/5566/4724/4709/84749/9093/139341",207
"BP","GO:0009150","purine ribonucleotide metabolic process","160/5512","348/18986",0.459770114942529,1.58367115426322,7.02861625290914,1.10025085075093e-11,7.78855352237128e-09,7.19216608754026e-09,"84833/402/4713/4714/4830/120892/5901/51079/4725/115/4710/4907/4695/27115/4701/9556/126328/4717/4860/517/1353/5169/3094/55967/4728/4729/29789/539/9551/5571/4726/10059/108/4831/113/4716/3704/8654/8850/522/9060/514/158/5141/516/54539/790955/283458/432369/4707/65990/4704/4715/5465/6391/7415/64223/3692/374291/100/111/51024/84433/515/10165/4711/7167/2645/8459/26137/57190/513/10060/5224/11164/4722/5223/6095/10632/4833/6774/4706/4696/57103/5027/51341/9414/10476/6783/84676/9583/109/527/27109/3098/3615/2597/518/5209/8460/4354/477/5150/4694/1291/11163/3356/10201/2987/509/50808/4705/57673/8671/114789/521/4708/10606/4700/26289/1497/7351/441531/23433/53632/5151/7345/30833/5136/5207/51292/1969/4731/669/5152/8573/7498/5138/2982/339123/7040/572/506/5213/54541/112/2203/3303/53343/2984/5236/5566/9605/107/4724/471/4709/2618/57089/526",160
"BP","GO:0015986","proton motive force-driven ATP synthesis","51/5512","77/18986",0.662337662337662,2.28141198424217,7.20628604113624,1.42151059133223e-11,7.98446694808294e-09,7.37307797219895e-09,"84833/4713/4714/51079/4725/4710/4695/4701/9556/126328/4717/517/55967/4728/4729/539/9551/4726/4716/522/514/516/54539/432369/4707/65990/4704/4715/6391/374291/515/4711/513/4722/10632/4706/4696/10476/527/518/4694/509/4705/521/4708/4700/4731/506/9605/4724/4709",51
"BP","GO:0006364","rRNA processing","113/5512","225/18986",0.502222222222222,1.72989679084019,7.04427586337496,1.48739795956799e-11,7.98446694808294e-09,7.37307797219895e-09,"51013/10556/6201/10360/6155/51504/9326/6227/6223/6209/10528/6165/6041/10436/6202/51202/64216/57418/6218/11157/10557/51118/10799/55505/11056/6154/25983/6232/5393/55003/6125/11224/404672/55651/5303/51406/8850/4809/6208/10248/54433/10171/55813/51729/54663/55299/79979/11103/84154/29777/3692/10438/51096/6230/51367/6130/22984/55720/120379/25926/9045/11137/56915/11340/51154/4839/10969/113000/9221/115939/2091/29081/92345/6229/54555/2483/27043/56342/88745/55759/92856/79033/23029/79954/10412/705/9136/79050/6217/5036/55272/22803/57455/23560/55011/83732/55035/6135/10607/114049/63899/55781/54606/84128/23016/84881/65083/1662/10775/6129/10200/55646/80135",113
"BP","GO:0042274","ribosomal small subunit biogenesis","65/5512","108/18986",0.601851851851852,2.07306953179595,7.15275557374034,1.50390210919785e-11,7.98446694808294e-09,7.37307797219895e-09,"6201/6189/51504/6227/6223/6209/10528/6228/10436/6210/6202/6233/6218/11157/2197/64745/51118/6193/6206/10799/11056/3921/25983/6232/4869/56902/404672/6207/388524/6205/51406/4809/6208/10171/55813/6203/26574/11103/29777/51096/6191/6230/128061/55720/25926/115939/2091/6229/51081/88745/26284/92856/79954/705/9136/84946/6217/55272/83732/10607/55781/84128/7520/65083/27349",65
