"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Human Diseases","Infectious disease: viral","hsa05171","Coronavirus disease - COVID-19","123/2667","238/9397",0.516806722689076,1.82093467308183,8.07511150080676,1.54465265879717e-14,5.35994472602618e-12,4.55266046803377e-12,"6201/6155/6189/6143/6231/6157/7311/6169/6227/6223/6188/6209/25873/6167/6235/6228/6170/6224/6773/6175/6204/6181/6165/6142/6168/6187/6152/6160/9349/6210/6202/6233/6171/51121/6218/6176/2197/4736/200916/6193/6128/6206/6154/3921/6222/6232/6164/3716/6138/6125/6147/11224/6207/388524/6205/3572/7450/6208/6161/6203/6141/340061/51187/6191/1147/6230/23586/114548/6130/6403/6146/6158/8829/6136/9045/6159/59272/6774/1440/1956/6885/3455/6156/6229/2162/23521/6122/834/730/6137/6132/6124/6134/4615/720/6217/51284/103/5594/64135/2353/5601/6133/716/6173/6135/5599/7099/4940/6144/717/6166/6139/5600/5336/8517/3654/1636/6129/728/5293/629/718",123
"Organismal Systems","Environmental adaptation","hsa04714","Thermogenesis","120/2667","235/9397",0.51063829787234,1.79920063183591,7.81034262124624,9.9539834834512e-14,1.72701613437878e-11,1.46690282914018e-11,"79133/4713/11343/4714/1350/6199/9167/29078/10975/51079/28958/4725/2180/115/4710/6196/4695/4701/155/126328/1347/63976/4717/55744/517/1353/55967/4728/4217/4729/1329/493753/539/9551/5571/4726/341947/108/113/4716/1355/4697/27089/522/10063/514/516/54539/1337/5592/4707/4704/4715/51287/6391/64223/374291/111/1349/1340/515/1351/4711/6602/9377/513/388753/4722/284184/10632/51241/7386/4706/4696/55471/10476/137682/84987/109/91942/6009/56901/518/4694/84701/23028/6605/86/6197/10818/148327/509/4705/152831/64764/4893/521/4708/4700/51780/6598/5346/90993/1339/53632/1327/8110/4731/7384/65260/5600/170712/506/27330/112/25915/5566/107/4724/4709",120
"Human Diseases","Neurodegenerative disease","hsa05012","Parkinson disease","133/2667","271/9397",0.490774907749078,1.72921327638473,7.66786503374053,2.22229557012194e-13,2.57045520944104e-11,2.18330792854085e-11,"283375/4713/5691/7311/4714/1350/9167/10975/5694/120892/51079/4725/4710/6233/5706/4695/4701/126328/1347/4717/517/5693/55967/4728/4217/4729/1329/539/6571/4726/341947/4716/4697/5692/27089/522/514/5683/516/54539/1337/2081/805/10131/5689/4707/3709/4704/4715/6391/5684/374291/5687/111/84790/1349/1340/515/1351/4711/11047/5685/7326/9377/513/1965/1649/5709/4722/836/347733/5686/3710/7386/4706/6647/7318/4696/203068/5719/5710/10476/29986/5688/7280/2771/3708/7316/1843/7419/56901/518/7979/4694/292/84701/10213/5717/54205/29985/9927/5715/10381/509/4705/5718/4708/5601/55630/10376/5707/4700/7846/5695/581/5714/5704/5599/1339/7345/810/1327/3800/4731/7384/170712/5690/27429/5702/506/5566/4724/4709",133
"Human Diseases","Neurodegenerative disease","hsa05020","Prion disease","135/2667","278/9397",0.485611510791367,1.7110203850418,7.57541312524532,4.03101063529853e-13,3.49690172612148e-11,2.97021836285155e-11,"4713/5691/4714/1350/9167/10975/5694/51079/4725/4710/5706/4695/4701/126328/1347/4717/517/5693/55967/4728/4729/1329/539/4726/341947/4716/4697/5692/27089/522/1457/514/5683/516/54539/1337/5689/4707/3709/4704/4715/6391/5684/374291/5687/84790/1349/1340/515/1351/858/4711/11047/5685/2902/9377/513/1965/1649/5709/4722/836/347733/2903/283106/5686/3710/7386/1460/4706/6647/4696/5621/203068/4684/5719/5710/10476/3552/5688/7280/1958/3708/7419/56901/518/7979/4694/292/84701/10213/730/5717/54205/5534/5715/148327/10381/509/4705/64764/5718/5594/4708/5601/10376/5530/5707/4700/7846/5695/581/5714/90993/5704/5599/1339/1327/857/3800/4731/7384/5600/170712/5690/572/5702/506/10963/3303/5566/6262/5293/4724/4709",135
"Human Diseases","Neurodegenerative disease","hsa05016","Huntington disease","147/2667","311/9397",0.472668810289389,1.66541762665519,7.51213889253572,5.43067185860748e-13,3.76888626987359e-11,3.20123814823178e-11,"4713/2893/5691/4714/2776/1350/9167/10975/5694/51079/4725/9519/4710/5706/2877/4695/29982/4701/126328/1347/4717/10540/517/5693/55967/4728/4217/4729/1329/1175/539/4726/341947/5436/5437/4716/55081/5438/55102/4697/5692/27089/522/514/5683/3064/516/54539/1337/5441/2081/7019/5439/2882/5689/4707/4704/4715/55860/6391/5684/374291/5687/84790/1349/1340/127602/5434/2876/515/1351/6908/4711/11047/5685/2902/9377/513/10121/5709/4722/836/347733/5686/7386/4706/6647/4696/2892/203068/5719/5710/10476/60673/5688/5433/7280/3708/5432/7419/56901/518/7979/4694/292/84701/10213/5717/54205/3066/5715/5435/148327/10126/10381/509/4705/64764/5718/8218/4708/5440/5601/10376/5707/4700/7846/5695/581/5714/90993/146754/5704/5599/1339/1327/3800/4731/7384/55626/170712/5690/5702/506/6507/4724/4709",147
"Metabolism","Energy metabolism","hsa00190","Oxidative phosphorylation","79/2667","138/9397",0.572463768115942,2.01703863104068,7.57653145055063,8.88084035754876e-13,5.13608600678236e-11,4.36251807037483e-11,"4713/4714/1350/9167/10975/51079/4725/4710/9296/4695/4701/126328/1347/4717/517/1353/55967/4728/4729/1329/539/9551/4726/341947/4716/1355/4697/27089/27068/522/10063/514/516/54539/1337/4707/4704/4715/6391/374291/1349/1340/515/1351/4711/64077/9377/513/533/4722/10632/7386/4706/4696/10476/527/56901/518/4694/84701/54205/509/4705/90423/495/521/4708/23545/4700/1339/1327/4731/7384/170712/506/10312/4724/4709/526",79
"Human Diseases","Neurodegenerative disease","hsa05010","Alzheimer disease","170/2667","391/9397",0.434782608695652,1.53192807420812,6.7631777136354,5.36925454400119e-11,2.66161618109773e-09,2.26073875536892e-09,"8471/27121/283375/4713/5691/4714/2776/1350/9167/10975/5694/51079/4725/4710/5706/5481/4695/7855/29982/7472/4701/126328/1347/10000/4717/517/5693/55967/4728/4217/4729/1329/539/4726/341947/4716/55102/4697/5692/27089/522/1457/514/5683/516/54539/1337/2081/4023/805/8321/5689/2535/4707/3709/4704/4715/6391/1020/5684/374291/5687/84790/1147/1349/1340/515/1351/4711/11047/5685/2902/23401/9377/5605/513/55851/1965/1649/3028/5709/4722/836/1856/347733/2903/89832/283106/5686/3710/7386/1460/4706/4696/203068/5719/5710/10476/3552/60673/4040/29986/4035/5688/322/7280/3708/10023/7419/2597/56901/518/7979/8322/8326/4694/292/84701/10213/5717/54205/5534/29985/5715/824/1128/10381/509/4705/5718/355/5594/4893/4708/5601/55630/489/10376/5530/5707/4700/7846/5695/1452/5714/5704/5599/1339/3416/7479/23621/8883/810/1327/3800/4731/7384/55626/80326/170712/7477/5690/572/8517/5702/7482/506/5293/4724/4709",170
"Human Diseases","Neurodegenerative disease","hsa05014","Amyotrophic lateral sclerosis","154/2667","371/9397",0.415094339622642,1.46255774631945,5.7224331559249,2.1838982153609e-08,8.51992173299537e-07,7.23669978837768e-07,"6432/4713/56001/6428/5691/4714/1350/9167/10975/5694/51079/29107/4725/4710/5706/2877/4695/29982/4701/126328/1347/4717/4927/10540/517/5693/55967/4728/4217/4729/1329/539/345456/4726/341947/4716/55102/4697/5692/27089/522/514/5683/516/54539/1337/57122/2081/2882/5689/4707/4704/4715/55860/6391/5684/7415/374291/5687/4744/84790/1349/1340/127602/2876/515/79023/5216/1351/4711/11047/5685/2902/9377/3178/513/1965/8480/1649/10121/5709/3084/4722/836/23064/347733/2903/5686/3710/7386/4706/6647/4696/7133/203068/5719/5710/81929/10476/60673/5688/10189/144983/7280/4218/56901/29979/518/834/440738/7979/4694/84701/10213/5717/54205/5534/5715/5868/10126/10381/509/4705/5718/4708/728343/10376/5530/5707/4700/7846/5695/581/5714/146754/5704/1339/1327/3800/9631/4731/7384/55626/5600/2521/170712/5690/572/5702/506/29978/5217/4724/4709",154
"Human Diseases","Neurodegenerative disease","hsa05022","Pathways of neurodegeneration - multiple diseases","192/2667","483/9397",0.397515527950311,1.40061995356171,5.69043289912285,2.2097779710939e-08,8.51992173299537e-07,7.23669978837768e-07,"27121/4713/2893/5691/7311/4714/2776/1350/9167/10975/5694/120892/51079/4725/4710/6233/5706/5481/2877/4695/7855/29982/7472/4701/126328/1347/4717/10540/517/5693/55967/4728/4217/4729/1329/539/4726/341947/4716/55081/55102/4697/5692/27089/522/1457/514/5683/3064/516/54539/1337/2081/805/10131/8321/2882/5689/2535/4707/3709/4704/4715/55860/6391/1020/5684/7415/374291/5687/4744/84790/1349/1340/127602/2876/515/1351/4711/11047/5685/7326/2902/23401/9377/5605/513/1965/1649/10121/3028/5709/4722/836/1856/347733/2903/89832/283106/5686/3710/7386/1460/4706/6647/7318/4696/2892/5621/7133/203068/5719/5710/10476/3552/60673/4040/5688/342371/7280/3708/10023/7316/4218/7419/56901/518/440738/7979/8322/8326/4694/292/84701/10213/5717/54205/5534/7222/9927/5715/824/5868/10126/1128/10381/509/4705/5718/355/5594/4893/5173/4708/5601/489/10376/5530/5707/4700/7846/5695/1452/581/5714/146754/5704/5599/1339/7479/7345/810/1327/6712/3800/4731/7384/55626/80326/5600/2521/170712/7477/5690/27429/572/5702/7482/506/6262/4724/4709",192
"Genetic Information Processing","Folding, sorting and degradation","hsa03050","Proteasome","31/2667","46/9397",0.673913043478261,2.37448851502258,5.88256158367022,4.26504882883913e-08,1.47997194360718e-06,1.25706702323679e-06,"5691/5694/5706/5693/51371/5692/5683/5689/5684/5687/11047/5685/5709/5686/5719/5710/5688/9491/7979/10213/5717/5715/5718/5707/5695/5714/5704/5720/5690/5702/10197",31
