,?|100130426,?|100133144,?|100134869,?|10357,?|10431,?|136542,?|155060,?|26823,?|280660,?|317712
TCGA-31-1951,0.0,84.1303,162.7787,2.2501,296.3662,0.0,388.8627,0.7551,0.0,0.0
TCGA-24-1849,0.0,40.0314,55.0911,0.9741,882.0967,0.0,171.9632,0.0,0.0,0.0
TCGA-25-1627,0.0,38.2752,66.7584,20.8758,856.0403,0.0,131.5436,0.0,0.3356,0.0
TCGA-24-1419,0.0,18.7803,39.5296,21.7746,1073.2394,0.0,153.2394,0.8451,0.0,0.0
TCGA-23-1123,0.0,43.8384,30.5815,23.6383,973.0595,0.0,328.3542,8.0021,0.2667,0.0
TCGA-25-1318,0.0,17.9299,35.3411,18.6262,904.6729,0.0,266.3551,1.4019,0.0,0.0
TCGA-25-1628,0.0,16.3717,22.0739,25.5064,876.8679,0.0,276.1934,0.0,0.0,0.0
TCGA-31-1959,0.0,11.4645,13.6834,14.3097,588.2643,0.0,122.288,0.4931,0.0,0.0
TCGA-36-1570,0.0,36.1134,44.7967,28.3796,1152.8926,0.0,130.3721,1.2213,0.0,0.0
TCGA-61-1741,0.0,20.4421,46.6384,7.2177,835.8924,0.0,480.453,0.0,0.0,0.0
TCGA-61-1918,0.0,80.687,101.4183,9.8672,542.482,0.0,549.1912,1.4377,0.0,0.0
TCGA-61-2110,0.0,25.4693,86.4888,4.4259,906.1458,0.0,515.4836,3.8113,0.0,0.0
TCGA-61-2113,0.0,26.7564,15.8749,6.2899,997.9907,0.0,397.3093,4.1932,0.0,0.0
TCGA-09-0369,0.0,6.0838,12.7078,7.9659,1161.5556,0.0,546.718,0.2936,0.0,0.0
TCGA-24-1556,0.0,85.2865,61.0058,6.8444,1228.9972,0.0,199.7269,2.3749,0.0,0.0
TCGA-29-1762,0.0,27.9653,44.2318,13.1993,1822.1187,0.0,112.4704,0.9823,0.0,0.0
TCGA-09-1662,0.2693,39.7792,80.6087,46.3076,702.1277,0.0,159.9785,0.2693,0.0,0.0
TCGA-29-1778,0.0,36.1937,42.0386,1.5045,656.3235,0.0,398.6836,0.7522,0.0,0.0
TCGA-24-1846,0.0,32.1208,23.5945,7.1891,1459.7412,0.0,255.5715,0.3595,0.0,0.0
TCGA-61-1733,0.0,12.7538,35.1389,7.5623,790.2299,0.0,283.046,0.0,1.4368,0.0
TCGA-29-2428,0.0,18.2934,29.0473,116.8147,1690.8241,0.0,353.0099,1.1689,0.0,0.0
TCGA-25-1316,0.0,6.9527,18.9956,44.9119,796.2222,0.0,157.1117,1.7773,0.0,0.0
TCGA-24-1428,0.1953,19.8907,38.3013,19.4943,988.4827,0.0,249.5616,0.5858,0.0,0.0
TCGA-09-1674,0.0,38.3356,64.8859,19.5635,1278.0019,0.0,188.5395,0.221,57.026,0.0
TCGA-13-0920,0.0,34.7743,49.1528,77.8068,2577.9889,0.0,123.5154,2.3753,0.0,0.0
TCGA-OY-A56P,0.0,39.9677,47.3948,14.9612,454.7124,0.0,461.3915,1.3358,0.0,0.0
TCGA-09-1670,0.0,36.1271,32.6802,5.7667,912.1887,0.0,178.5714,2.2936,0.0,0.0
TCGA-24-2262,0.0,25.8789,24.2315,13.9417,910.9115,0.0,536.113,4.1187,0.0,0.0
TCGA-29-1783,0.0,17.6724,67.1732,9.6782,1143.9632,0.0,303.2503,0.6452,0.0,0.0
TCGA-09-2051,0.0,17.3373,14.2984,25.7112,1061.9533,0.0,202.9958,0.0,0.0,0.0
TCGA-25-2392,0.0,5.9453,10.6874,4.2467,1342.2985,0.0,181.8986,1.0617,0.0,0.0
TCGA-29-1688,0.0,11.6158,37.8579,17.3684,1172.6316,0.0,176.3158,0.0,0.0,0.0
TCGA-24-2027,0.0,25.9481,29.4763,9.8885,838.1245,0.0,203.448,1.3518,0.0,0.0
TCGA-61-2104,0.0,25.4036,51.9425,9.3525,872.0951,0.0,620.5428,1.0644,0.0,0.0
TCGA-61-1725,0.0,41.5883,60.0897,0.9703,1709.254,0.0,118.2921,0.0,0.0,0.0
TCGA-61-2101,0.0,15.9893,30.8116,10.5954,1097.1564,0.0,227.7844,0.2962,0.0,0.0
TCGA-25-1632,0.0,15.7887,22.224,33.8659,1052.0698,0.0,218.8612,0.0,0.0,0.0
TCGA-25-1626,0.3774,13.0239,22.4512,34.2259,862.7229,0.0,269.082,1.1322,0.0,0.0
TCGA-24-1562,0.0,33.2489,92.506,8.0185,871.6803,0.0,119.7981,0.0,0.0,0.0
TCGA-24-2254,0.0,19.7555,31.7534,15.6087,405.307,0.0,412.5911,0.0,0.0,0.0
TCGA-09-2044,0.0,20.3874,37.8708,6.2014,1458.5243,0.0,104.3915,0.5915,0.0,0.0
TCGA-23-1120,0.0,9.3713,26.5014,10.2152,1010.9275,0.0,451.6547,0.0,0.0,0.0
TCGA-25-1324,0.0,26.0566,36.876,38.2454,1805.6639,0.0,464.9465,0.2517,0.0,0.0
TCGA-25-2042,0.0,19.3479,32.3521,3.1486,889.1476,0.0,155.1001,0.4658,0.0,0.0
TCGA-36-1576,0.0,13.0469,2.8342,52.5298,818.08,0.0,116.8686,0.0,0.0,0.0
TCGA-23-1114,0.0,20.7949,20.3831,38.4165,432.0427,0.0,261.1211,0.6536,0.0,0.0
TCGA-24-1474,0.0,11.8181,21.5321,20.0101,574.5332,0.0,154.9269,0.0,0.0,0.0
TCGA-29-1699,0.0,19.8249,24.1696,10.446,783.2242,0.0,218.4503,0.6089,31.8161,0.0
TCGA-09-1659,0.0,20.4247,36.867,20.7732,1416.6667,0.0,212.7404,3.2051,0.0,0.0
TCGA-36-1571,0.0,56.2026,64.9731,19.8344,939.6539,0.0,240.182,0.3099,0.0,0.0
TCGA-24-1427,0.0,39.5923,49.8212,44.7067,1177.7539,0.0,157.7253,0.0,0.0,0.0
TCGA-25-1630,0.0,13.6901,10.8713,25.0292,1170.7602,0.0,124.5614,0.5848,0.0,0.0
TCGA-24-1434,0.0,4.0036,20.2241,14.7426,717.7468,0.0,138.401,0.3028,0.0,0.0
