gene,logrank_p_value,logrank_test_statistic,cox_p_unadjusted,cox_hr_unadjusted,cox_hr_ci_lower_unadjusted,cox_hr_ci_upper_unadjusted,cox_p_adjusted,cox_hr_adjusted,cox_hr_ci_lower_adjusted,cox_hr_ci_upper_adjusted,high_group_n,low_group_n,high_group_events,low_group_events,median_survival_high,median_survival_low,expression_mean,expression_std,age_mean_high,age_mean_low,age_difference_p_value,has_age_data,cox_p_adjusted_fdr
SOCS7|30837,0.006924878184479718,7.292351402419086,5.746187212889539e-114,1.0221592717923809,1.0202258493977048,1.0240963582014109,7.765548504535412e-117,1.0233425467568862,1.021330395137369,1.0253586625726705,118,118,76,71,1157.0,1483.0,77.18477762711863,98.3629117533908,61.516949152542374,56.80508474576271,0.000824565832811476,True,1.5675536211255183e-112
MUC7|4589,0.8995107674183962,0.015946485176983792,1.1713938115747465e-100,1.1186061788680002,1.107127833799212,1.1302035277243327,3.626759197487428e-105,1.123155462120136,1.1114776550114729,1.134955962814453,295,262,179,159,1348.0,1348.0,3.3801254237288134,50.69768268388728,59.2,58.97328244274809,0.8078510289571067,True,3.660488058024062e-101
MYL10|93408,0.837831803017443,0.04188884375320617,8.339822799618255e-85,15584.55076924122,5909.979955045462,41096.28535570706,3.6171108446264085e-71,188068.17851618398,49519.769962273494,714252.9094408457,295,287,179,172,1348.0,1354.0,0.035816610169491524,0.40276742832781715,59.2,59.33101045296167,0.8850904997115446,True,2.433833316987623e-67
SLC46A1|113235,0.5202068196425005,0.41348324859210256,3.511066809075162e-22,1.0018654588213782,1.0014876416341758,1.0022434185423683,9.425653561236804e-65,1.002932590988736,1.002593887581777,1.003271408818892,118,118,75,74,1354.0,1364.0,531.8652525423728,686.7346266065515,59.144067796610166,59.74576271186441,0.6722332058337854,True,4.7566560696781536e-61
ARG1|383,0.2730507881194324,1.2013561894895028,3.6179722585792847e-44,1.0951533359889876,1.0812466289974674,1.1092389073525772,4.321534784794636e-30,1.0825036920163358,1.0678458488262448,1.0973627368753958,118,118,68,75,1189.0,1369.0,2.873353559322034,31.0788087872799,60.80508474576271,57.855932203389834,0.03393422958688443,True,1.7446900233172904e-26
KIAA0100|9703,0.018822797903307712,5.517904052035263,4.292151120359893e-30,1.000409120268478,1.0003387555967997,1.0004794898896665,1.4500101262178696e-29,1.0004180606643909,1.0003454799350304,1.0004906466598942,118,118,77,68,1161.0,1483.0,3797.887260677966,3095.658878688226,61.152542372881356,57.13559322033898,0.0038660383459466433,True,4.878317401305653e-26
CTAG2|30848,0.8041354238961412,0.06150334798620393,2.1887558193688437e-53,1.004705526248569,1.0041046910574156,1.005306720966901,1.4388171251820321e-12,1.0023128320815853,1.0016720571275801,1.002954016942744,295,220,179,128,1348.0,1366.0,75.04164677966101,816.016313707781,59.2,58.11363636363637,0.2644274962912928,True,4.149137498417786e-09
SLC2A7|155184,0.8134414968968705,0.05569063110901849,0.011243371010191315,1.0643790974528373,1.014254276431513,1.1169811056458636,1.9051469180785622e-07,1.4745942284320726,1.2740873457240014,1.7066554705396266,295,241,179,147,1348.0,1354.0,0.342308813559322,2.704349839765644,59.2,58.983402489626556,0.8195430643615196,True,0.0004807161961041732
ARHGAP23|57636,0.0028702376759093392,8.888173186290773,7.638304332596681e-07,1.0001202935858644,1.000072607278331,1.0001679821672165,9.896866282458081e-07,1.0001169779353132,1.0000701255323332,1.000163832533287,118,118,81,67,1189.0,1579.0,2498.1081308474577,2482.460274385662,59.41525423728814,59.47457627118644,0.9666635171073708,True,0.0022197571419744315
ZFHX4|79776,0.007764644194616147,7.0869694052506125,7.144320242441494e-08,1.0011960879047175,1.0007607878056997,1.0016315773458624,1.2073186889509845e-06,1.001090918035269,1.0006503196711294,1.0015317104001644,118,118,81,68,1106.0,1483.0,146.49528203389832,261.1043758123389,61.26271186440678,59.40677966101695,0.19951572894590155,True,0.0024370935055164572
ASAP3|55616,0.001621572683143988,9.935092705326918,8.388047093868318e-06,1.000506084393539,1.0002834041522424,1.0007288142072763,1.4111369420352047e-06,1.0005462634538742,1.0003242572637012,1.0007683189148193,118,118,84,65,1155.0,1483.0,816.5785481355932,537.8111982566687,59.54237288135593,58.355932203389834,0.37910631824169716,True,0.002589564573811149
C12orf5|57103,0.0026390272696866957,9.041612766300375,1.23278318503255e-07,1.0016635655763975,1.001046719035484,1.0022807922191062,1.9822911299121325e-06,1.0015527413533356,1.000912454648239,1.0021934376517614,118,118,77,70,1157.0,1579.0,368.08808067796605,219.2947825647427,61.53389830508475,56.644067796610166,0.0005247055377602675,True,0.003334544062367192
C21orf84|114038,0.015075986883993574,5.907566161509898,0.00021881625862812704,1.281207745152142,1.1234489198977695,1.461119644306754,3.325403375864149e-06,1.3779676507447587,1.2037751148058844,1.5773667549235064,118,133,75,79,1155.0,1399.0,0.6563779661016949,1.1182057956313785,58.0,60.94736842105263,0.0371930760445664,True,0.005163584041937977
RBMXL3|139804,0.49244012724166775,0.4711902057995062,2.7125882792284778e-05,3.1147759391216203,1.8321648800088428,5.295281694780736,1.199355330682034e-05,3.245246900199539,1.915819038334989,5.497193227815299,295,247,179,147,1348.0,1446.0,0.08828033898305085,0.25687522465333423,59.2,59.336032388663966,0.8855818235707418,True,0.017292990503676813
C1QL1|10882,0.04381851312038264,4.063541383662113,4.494499122557771e-06,1.0004509971876714,1.0002582713302557,1.0006437601787526,1.353397031286451e-05,1.0004369137138387,1.0002400897410808,1.000633776416974,118,118,75,68,1229.0,1484.0,251.459560338983,736.6844468092396,59.61864406779661,58.144067796610166,0.3008315444203877,True,0.018213114982365535
KLF17|128209,0.07229800677496105,3.230060747260084,2.9723462300494534e-05,1.0801129103490967,1.0417395245421737,1.1198998133583493,1.8273699638234994e-05,1.0816531687650615,1.0435088422668548,1.1211918194750699,118,118,81,68,1155.0,1451.0,1.4819576271186443,2.959499658082702,59.279661016949156,59.45762711864407,0.9021769250120338,True,0.02171426964176406
C10orf113|387638,0.8058074486558315,0.060436443651576736,4.7084479861369355e-05,7.446054192889261,2.831403720698288,19.58170876097107,1.8287059541761075e-05,7.700230325825728,3.0269187326570157,19.588747603645967,295,279,179,170,1348.0,1354.0,0.031619999999999995,0.1562833991732419,59.2,59.14336917562724,0.9503928459890276,True,0.02171426964176406
LASP1|3927,0.021775947965993577,5.263598634301184,7.862619865638702e-06,1.0000748954076162,1.0000420471262275,1.000107744767969,2.2312213383362977e-05,1.000071408330228,1.0000384019032158,1.0001044158466228,118,118,79,70,1229.0,1483.0,5643.3038732203395,3674.974286601722,60.96610169491525,57.567796610169495,0.013889495338202143,True,0.02493040438942136
SLC7A5P1|81893,0.9039276885617253,0.014568785753085541,0.00011920740792899954,1.012941835333405,1.0063287399007208,1.0195983887629325,2.3465653591548887e-05,1.0137672999038359,1.0073634351652896,1.0202118743625863,118,118,61,76,1366.0,1321.0,6.620041694915254,20.267911937019875,57.347457627118644,60.53389830508475,0.024191202328283166,True,0.02493040438942136
OR10H5|284433,0.7792466731061408,0.07856858521909393,1.2273740156019408e-05,1.1078485089387593,1.0581394506382715,1.1598927891947566,3.0478623202735465e-05,1.102235728268397,1.0529413058713104,1.1538379147031492,295,239,179,141,1348.0,1364.0,0.3782749152542373,2.563534320708466,59.2,59.17154811715481,0.976272110132876,True,0.030762074398520904
