gene,rho,pval,padj
A2M|2,0.376113561846186,1.0991375850849724e-09,8.125024049745415e-08
A4GALT|53947,0.3184725415790884,3.341396126582019e-07,7.679765719209856e-06
AAAS|8086,-0.33384546867033565,8.131765385371256e-08,2.4634405875998534e-06
ABCA6|23460,0.30743981524460784,8.785750996649931e-07,1.6371208003404847e-05
ABCA7|10347,0.3954798548233354,1.230306496061316e-10,1.4350646486200922e-08
ABCB1|5243,0.3004951402897487,1.5828273371160444e-06,2.618078034679144e-05
ABCB4|5244,0.3163404356509069,4.040091850263041e-07,8.926466163133459e-06
ABCC3|8714,0.3417274088464259,3.821258518558149e-08,1.3565467740881428e-06
ABHD2|11057,0.33343436317945757,8.45359219286918e-08,2.523415749361528e-06
ABLIM3|22885,0.3366643625950429,6.222097198991455e-08,2.0102074098108544e-06
ACADL|33,0.39064164007706864,2.1550154286772487e-10,2.3041989372219892e-08
ACBD6|84320,-0.33456691850236686,7.595279766902272e-08,2.368646014806693e-06
ACBD7|414149,-0.30471259897263925,1.1090802432085237e-06,1.959475828946502e-05
ACOX3|8310,0.30831259333001493,8.150444255167259e-07,1.5542083880633702e-05
ACSL1|2180,0.4227409854037398,4.390749903559627e-12,1.1902318070909157e-09
ACTL8|81569,-0.3412670365681185,3.995907258636244e-08,1.396468523091106e-06
ACTR3B|57180,-0.3773605818351829,9.586722689342238e-10,7.395076411230665e-08
ADAM9|8754,0.31166673048206145,6.094339437252048e-07,1.2369787492808872e-05
ADAMTS10|81794,0.37790146768690686,9.033071027795025e-10,7.116712932994826e-08
ADAMTS20|80070,-0.32496812512465256,1.8566649124231063e-07,4.840532920443579e-06
ADAMTSL3|57188,0.46001535599921806,2.7594241643567594e-14,1.9064437024746335e-11
ADCY4|196883,0.33726812340419526,5.873363102328042e-08,1.9078340218285467e-06
ADCY7|113,0.3272444042295499,1.5061921816611092e-07,4.056331358197676e-06
ADCY9|115,0.3894446649994055,2.4721188884114044e-10,2.5668596296262462e-08
ADRB2|154,0.3568101438264651,8.486139393228925e-09,4.4572082432915544e-07
ADRM1|11047,-0.30283360505256707,1.3004196380509837e-06,2.2417886716228237e-05
AFAP1|60312,0.34905556574362734,1.8577740565984655e-08,7.945522709209104e-07
AGMAT|79814,-0.3118456822839731,5.999938319325254e-07,1.2259314989415248e-05
AHNAK|79026,0.44583221656392386,2.0436160954068297e-13,1.0102613796968527e-10
AK3|50808,0.32413773646122807,2.0030513314286902e-07,5.147469394342427e-06
AKAP11|11215,0.314197850563154,4.882213935351413e-07,1.0400490144017479e-05
AKIRIN1|79647,-0.3031326641449509,1.2679865091810262e-06,2.196416746809911e-05
AKT3|10000,0.34197326605175493,3.7310266340861715e-08,1.3377331622373233e-06
ALAD|210,0.3967268748123323,1.0632288933149456e-10,1.317157283490784e-08
ALDH3B1|221,0.31521674730917343,4.4626723045851434e-07,9.613922214677492e-06
ALG10|84920,-0.31348204335550744,5.199290316355098e-07,1.0961837083648666e-05
ALG1L|200810,-0.3005202787852031,1.5795012868146266e-06,2.616605276910917e-05
ALKBH2|121642,-0.38782684397942047,2.9735106323550567e-10,2.96903261205506e-08
ALOX5|240,0.34748772225390595,2.1711115573019336e-08,8.783711014372665e-07
ALS2CL|259173,0.3823559165939507,5.511420964267439e-10,4.714364513387429e-08
AMD1|262,-0.31615825949220405,4.1058928255543054e-07,9.016400100908555e-06
AMPH|273,0.30201467929030085,1.3933416999244806e-06,2.365651886176129e-05
ANAPC5|51433,-0.3070478393786664,9.086251121363778e-07,1.686119100134892e-05
ANKRD29|147463,0.3579177103842426,7.574548771981725e-09,4.073701185362507e-07
ANKRD33|341405,-0.31735428961228324,3.691970947536709e-07,8.293872936846465e-06
