names,scores,logfoldchanges,pvals,pvals_adj
RPS28,34.67827,1.1600621,1.6752477270007643e-263,5.885982888817185e-259
ZFAS1,32.839542,1.7761004,1.606296325569378e-236,2.821861069944005e-232
S100A1,30.367956,4.144718,1.4557919956276326e-202,1.2787312941594216e-198
IQGAP1,30.023676,2.1430037,4.818174691124739e-198,3.385731355453354e-194
ELP5,29.09538,2.9434624,4.106973377025061e-186,2.0614072800253642e-182
IRF2BP2,28.629395,2.402017,2.8944174380247747e-180,1.2711919585625057e-176
FOXC1,28.463676,4.3612127,3.3004610749757894e-178,1.2884633318808262e-174
TNNT3,28.377638,6.3932133,3.818230423751253e-177,1.3415352593850026e-173
ARHGAP29,28.043459,3.4656618,4.800027852890797e-173,1.405408155094318e-169
JAG1,27.150389,3.5901127,2.505419626239415e-162,6.771378351378603e-159
CLDN1,27.096043,3.2256656,1.0962359251737115e-161,2.7511606593555966e-158
RPL36,26.719086,0.7568778,2.8250877955927428e-157,6.617297313210067e-154
HES4,26.441343,2.6108806,4.588903291907506e-154,1.0076944822573138e-150
KLK6,26.42562,3.0084226,6.957879986757381e-154,1.438030078439533e-150
SLPI,26.371077,2.6736252,2.942226955133884e-153,5.743063559368279e-150
CTXN1,25.843376,3.1656373,2.8882426367571513e-147,5.0739202521231254e-144
SST,25.765543,3.8720455,2.1586874659776574e-146,3.6116897198630947e-143
UBL5,25.669561,1.1948853,2.5574734755262514e-145,3.906818720113688e-142
RPL5,25.155615,0.9995223,1.2267718579467986e-139,1.795942884540032e-136
DSC2,25.13497,2.9308236,2.06337087272428e-139,2.899861424526703e-136
YWHAE,25.113686,1.4022189,3.525291882875231e-139,4.763889627108509e-136
YWHAZ,24.851494,1.2983474,2.4914278194001985e-136,3.242085793875036e-133
FNBP1L,24.75955,3.0243418,2.4466195275155944e-135,3.0700706106878715e-132
RPL39,24.75469,0.6990797,2.7599726741876396e-135,3.3438496519856105e-132
RPL22,24.713472,0.9262321,7.662583392884427e-135,8.974162250299811e-132
CAMTA1,24.70796,1.5920726,8.782643817141835e-135,9.954135177912205e-132
RPS21,24.462357,0.93059665,3.718095937830573e-132,4.082353149239912e-129
RPL37A,24.419441,0.66439354,1.0631732443706444e-131,1.131957331544321e-128
