,mean_expression
MIR1302-2,0.0
RP11-34P13.7,0.0001918090135524032
RP11-34P13.8,0.0
CICP27,0.0
RP11-34P13.15,0.0009184873728905432
RP11-34P13.13,0.0006738532668732569
FO538757.1,0.00335525704500024
AP006222.2,0.002149867516401534
RP4-669L17.2,0.0
RP4-669L17.10,0.004683997525060137
RP5-857K21.4,0.0006886640326006009
RP5-857K21.2,0.0
MTND1P23,0.06188912070684692
MTND2P28,0.123351652819173
MTCO1P12,0.028201646959433425
MIR6723,0.00022410608813757632
MTCO2P12,0.0029400030048070246
MTATP8P1,0.00019099831459478312
MTATP6P1,0.7659298328048672
MTCO3P12,0.0017116106099954616
RP11-206L10.2,0.007651449155185293
RP11-206L10.4,0.0
RP11-206L10.9,0.010809313397215465
RP11-206L10.8,0.0034115692459327366
FAM87B,0.0027934035455800506
LINC01128,0.05599841887117423
LINC00115,0.0024266975803091035
FAM41C,0.005614237544631184
TUBB8P11,0.0003219287625990545
RP11-54O7.16,0.00036831607322761206
RP11-54O7.1,0.0015202655566983068
RP11-54O7.3,0.0008945100213482384
SAMD11,0.014342316367626425
NOC2L,0.2191368520273192
KLHL17,0.003904612879470104
PLEKHN1,0.013005957073751009
PERM1,0.00014037423586648427
RP11-54O7.17,0.008308069421796297
HES4,0.43513758990957385
ISG15,1.1756789778404773
RP11-54O7.10,0.0015451541307769394
RP11-54O7.11,0.0002510375603153122
AGRN,0.11239775848511226
RP11-465B22.3,0.10687822606032062
RP11-54O7.18,0.0
RNF223,0.016818704182490117
C1orf159,0.020029345486558825
LINC01342,0.0
RP11-465B22.8,0.00817940555591578
TTLL10-AS1,0.0
TTLL10,0.003634110388467277
TNFRSF18,0.1465408763903002
TNFRSF4,0.06673307074313078
SDF4,0.3751453359986729
B3GALT6,0.06890429793672095
FAM132A,0.017192138248057928
RP5-902P8.12,0.004521282267250064
UBE2J2,0.28116499180927
RP5-902P8.10,0.0002349005248997712
SCNN1D,0.00687161319351198
ACAP3,0.04307349701263342
PUSL1,0.04216898276942058
CPSF3L,0.14650932253409135
CPTP,0.05617316480048139
TAS1R3,0.004660891865466836
DVL1,0.02928087690226027
MXRA8,0.22000977139691158
AURKAIP1,0.7548041794147408
NDUFB4P8,0.0003625758167729291
CCNL2,0.17930876307898047
RP4-758J18.2,0.04399175115929855
MRPL20,0.4712724890338595
RP4-758J18.13,0.00431905822897536
ANKRD65,0.025817544532408233
RP4-758J18.10,0.0007116458342096789
VWA1,0.10909541667721132
ATAD3C,0.01298091525973428
ATAD3B,0.04752054148591287
ATAD3A,0.06678901405445738
TMEM240,0.0006701230583018001
SSU72,0.5503291450491948
RP5-832C2.5,0.04252817779504665
FNDC10,0.008273546993051622
RP11-345P4.9,0.036062289015146666
MIB2,0.08181137465810026
MMP23B,0.025388549198448216
CDK11B,0.11093301524510037
RP11-345P4.10,0.004042658545866354
SLC35E2B,0.03894698261650925
RP11-345P4.6,0.002851624366522868
CDK11A,0.0451021238768189
RP1-283E3.8,0.004757515729233512
RP1-283E3.4,0.009696239139830566
SLC35E2,0.0028563763022015397
NADK,0.07155548324461747
GNB1,0.3375476872101959
RP1-140A9.1,0.0016158113988600244
TMEM52,0.013565749377910817
CFAP74,0.003056804075107626
RP11-547D24.1,0.0003941563434169924
GABRD,0.0
RP11-547D24.3,0.0
PRKCZ,0.021521445376347738
RP5-892K4.1,0.008075102186977462
RP11-181G12.2,0.0006088713828856171
FAAP20,0.3645869462837646
SKI,0.06275311222555212
MORN1,0.009881013825702223
RP4-740C4.5,0.00014414404537009954
RP4-740C4.7,0.0001482771612229703
RER1,0.28725730715975833
PEX10,0.0598822742478974
PLCH2,0.001591126983429405
PANK4,0.006456188834073669
HES5,0.0
RP3-395M20.12,0.019313886280376998
RP3-395M20.8,0.010373424192448868
TNFRSF14,0.11256178812391732
RP3-395M20.9,0.0059596702855684285
FAM213B,0.04794353640917752
MMEL1,0.011811554805401888
RP13-436F16.1,0.00033559517659470094
TTC34,0.002214211434928849
LINC00982,0.0018324952880064765
PRDM16,0.0017346142762007248
RP1-163G9.2,0.0
RP11-193J6.1,0.0005733613860150713
RP11-22L13.1,0.0004990738992250549
ARHGEF16,0.0055718973338328625
RP11-168F9.2,0.00016077395526739667
MEGF6,0.014779271993886192
RP11-46F15.2,0.0018950304344366288
TPRG1L,0.04043483410914213
WRAP73,0.056162747815779075
TP73,0.0005991378670344721
RP5-1092A11.5,0.0
