,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
0,prerank,GO_Biological_Process_2021__cellular response to type I interferon (GO:0071357),-0.7679416404383328,-2.0209617829446445,0.0,0.0017020262216924911,0.003,26/55,2.44%,HLA-C;HLA-B;HLA-A;IFI6;IFI27;IFITM2;MX1;ISG15;IFITM3;IFIT1;SP100;HLA-E;PSMB8;IFIT3;IFITM1;HLA-F;OASL;IFI35;RSAD2;GBP2;OAS1;ISG20;IFIT2;IRF7;MX2;OAS2
1,prerank,GO_Biological_Process_2021__type I interferon signaling pathway (GO:0060337),-0.7679416404383328,-2.0209617829446445,0.0,0.0017020262216924911,0.003,26/55,2.44%,HLA-C;HLA-B;HLA-A;IFI6;IFI27;IFITM2;MX1;ISG15;IFITM3;IFIT1;SP100;HLA-E;PSMB8;IFIT3;IFITM1;HLA-F;OASL;IFI35;RSAD2;GBP2;OAS1;ISG20;IFIT2;IRF7;MX2;OAS2
2,prerank,GO_Biological_Process_2021__regulation of T cell mediated cytotoxicity (GO:0001914),-0.8591330032747729,-1.943572110146106,0.0,0.006051648788239968,0.013,8/28,3.67%,HLA-B;HLA-A;HLA-E;HLA-F;HLA-DRB1;HLA-DRA;PTPRC;FADD
3,prerank,KEGG_2021_Human__Autoimmune thyroid disease,-0.777327601952722,-1.7979223774388555,0.0,0.08339928486293206,0.229,15/39,5.11%,HLA-C;HLA-B;HLA-A;HLA-E;HLA-F;HLA-DRB1;HLA-DPB1;HLA-DPA1;HLA-DRA;FAS;CD40;HLA-DQB1;HLA-DMA;HLA-DQA2;CTLA4
4,prerank,GO_Biological_Process_2021__regulation of viral entry into host cell (GO:0046596),-0.7306022480205591,-1.7660183079904401,0.0,0.11029129916567343,0.339,12/38,3.02%,IFITM2;LY6E;CD74;LGALS1;IFITM3;IFITM1;P4HB;HLA-DRB1;GSN;LGALS9;TRIM22;PTX3
5,prerank,GO_Biological_Process_2021__interferon-gamma-mediated signaling pathway (GO:0060333),-0.6769389270348709,-1.7581968463729143,0.0,0.10760588001589193,0.388,22/66,3.65%,HLA-C;HLA-B;B2M;HLA-A;SP100;HLA-E;HLA-F;OASL;GBP2;HLA-DRB1;OAS1;GBP1;VCAM1;HLA-DPB1;HLA-DPA1;HLA-DRA;CD44;IRF7;TRIM22;OAS2;HLA-DQB1;CAMK2D
6,prerank,GO_Biological_Process_2021__response to interferon-beta (GO:0035456),-0.7657420969493239,-1.7342948977598789,0.012987012987012988,0.1327580452920143,0.51,11/25,5.28%,IFITM2;IFI16;IFITM3;IFITM1;NDUFA13;OAS1;PLSCR1;XAF1;UBE2G2;IFNAR2;BST2
7,prerank,GO_Biological_Process_2021__negative regulation of viral life cycle (GO:1903901),-0.8115135306678797,-1.6973819403874153,0.03125,0.1852371871275328,0.664,7/19,3.02%,IFITM2;LY6E;IFITM3;IFITM1;PPIA;GSN;PTX3
8,prerank,KEGG_2021_Human__Type I diabetes mellitus,-0.6919770892429872,-1.6821191996414036,0.0,0.194409217322209,0.725,13/40,3.90%,HLA-C;HLA-B;HLA-A;HLA-E;HLA-F;HLA-DRB1;HLA-DPB1;CPE;HLA-DPA1;HLA-DRA;FAS;HLA-DQB1;HLA-DMA
9,prerank,KEGG_2021_Human__Graft-versus-host disease,-0.7168786665766267,-1.6740618140602608,0.01639344262295082,0.19255589988081045,0.751,13/38,3.90%,HLA-C;HLA-B;HLA-A;HLA-E;HLA-F;HLA-DRB1;HLA-DPB1;HLA-DPA1;HLA-DRA;IL6;FAS;HLA-DQB1;HLA-DMA
