Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	mitochondrial translational elongation (GO:0070125)	62/89	6.866543e-15	1.967951e-11	0	0	5.498036e+00	1.793026e+02	MRPS17;MRPS15;MRPS16;GFM2;MRPS14;MRPS11;MRPS12;MRPL38;MRPL39;MRPS10;MRPL34;MRPL35;MRPL3;MRPL42;MRPL2;MRPL1;MRPL9;CHCHD1;MRPS28;TSFM;MRPS26;MRPS27;MRPS24;MRPS22;MRPS23;MRPL49;MRPS18A;MRPS21;MRPL47;MRPL48;MRPL45;MRPL46;MRPS6;MRPL43;MRPS5;MRPL44;MRPS18C;MRPL52;MRPL53;OXA1L;MRPS9;MRPL51;AURKAIP1;MRPS35;MRPS33;MRPL19;MRPL17;MRPL14;MRPL15;MRPL12;MRPL10;MRPL54;MRPL11;MRPL55;MRPL20;GADD45GIP1;PTCD3;MRPL27;MRPL28;ERAL1;MRPL21;MRPL30
GO_Biological_Process_2021	mitochondrial translational termination (GO:0070126)	62/89	6.866543e-15	1.967951e-11	0	0	5.498036e+00	1.793026e+02	MRPS17;MRPS15;MRPS16;GFM2;MRPS14;MRPS11;MRPS12;MRPL38;MRPL39;MRPS10;MRPL34;MRPL35;MRPL3;MRPL42;MRPL2;MRPL1;MRPL9;CHCHD1;MRPS28;MRPS26;MRPS27;MRPS24;MRPS22;MRPS23;MRPL49;MRPS18A;MRPS21;MRPL47;MRPL48;MRPL45;MRPL46;MRPS6;MRPL43;MRPS5;MRPL44;MRPS18C;MRPL52;MRPL53;OXA1L;MRPS9;MRPL51;AURKAIP1;MRRF;MRPS35;MRPS33;MRPL19;MRPL17;MRPL14;MRPL15;MRPL12;MRPL10;MRPL54;MRPL11;MRPL55;MRPL20;GADD45GIP1;PTCD3;MRPL27;MRPL28;ERAL1;MRPL21;MRPL30
GO_Biological_Process_2021	translational termination (GO:0006415)	65/96	1.347390e-14	2.574413e-11	0	0	5.021458e+00	1.603754e+02	MRPS17;MRPS15;MRPS16;GFM2;MRPS14;MRPS11;MRPS12;MRPL38;MRPL39;MRPS10;APEH;MRPL34;MRPL35;MRPL3;MRPL42;TRMT112;MRPL2;MRPL1;MRPL9;CHCHD1;MRPS28;MRPS26;MRPS27;MRPS24;MRPS22;MRPS23;MRPL49;MRPS18A;MRPS21;MRPL47;MRPL48;MRPL45;MRPL46;MRPS6;MRPL43;MRPS5;MRPL44;MRPS18C;MRPL52;MRPL53;OXA1L;MRPS9;MRPL51;AURKAIP1;MRRF;MRPS35;MRPS33;MRPL19;MRPL17;MRPL14;MRPL15;MRPL12;MRPL10;MRPL54;MRPL11;MRPL55;MRPL20;GADD45GIP1;PTCD3;MRPL27;MRPL28;ERAL1;MRPL21;MRPL30;ABCE1
GO_Biological_Process_2021	cellular macromolecule biosynthetic process (GO:0034645)	154/314	2.759438e-13	3.954275e-10	0	0	2.319068e+00	6.706416e+01	RPL4;RPL5;RPL3;RPL32;RPL31;RPL34;RPL10A;PWP1;YARS2;RPL6;RPS15;RPS17;RPS16;RPL18A;RPS19;RPS18;CHEK1;RPL36;RPL35;RPL38;RPL37;RPS10;RPS13;RPS12;MEF2A;TIPIN;RPS9;RPS7;RPS8;RPL23;RPS5;RPL22;MRPS18A;RPSA;GTPBP1;MRPS18C;TIMELESS;RPL24;RPL27;DNA2;RPL26;PIF1;BLM;RNASEH2A;MRPL10;MRPL11;FUT9;ST3GAL2;EEFSEC;RPL41;TREX1;MRPL27;MRPL28;CDC7;CDC6;INHBA;RPS26;NR4A2;RPS27;RPS29;RPL27A;BCL3;CDK2;CDK1;RAD17;MMS19;RNPS1;RPS20;HOXD3;RPS21;RSL24D1;FARSB;RPS23;MRPS17;HBS1L;MRPS15;MRPS16;MCM7;MRPS14;MRPS11;RPLP1;MRPS12;RPLP0;MCM10;BRCA1;MRPL34;MRPL35;PTMS;ING4;MRPL42;MRPL3;RPL7A;EEF2K;EXO1;RPLP2;POLL;MRPL9;TOPBP1;GAL3ST2;GAL3ST4;RFC5;TSFM;RFC4;RFC2;MRPS21;RPS3A;MRPS6;MLF1;MRPL43;MRPS5;TOPORS;MRPL52;MRPL51;DBF4;PAX8;RPL37A;MRRF;PTMA;MCM2;MRPS33;GCNT1;RPL11;RRBP1;TYMS;MRPL55;RPS15A;CDC45;TAF1B;POLR2B;POLD2;POLR2D;RPS3;E2F1;POLR2E;POLR2F;IGF2BP3;POLR2G;RPL15;RPS2;POLR2H;RPS27A;POLR2I;POLR2J;RPL19;POLR2L;DUT;RPA1;DONSON;RPL35A;NAP1L1;RPL23A;POLE2;RPS6KB2;RAD1
GO_Biological_Process_2021	mitochondrial translation (GO:0032543)	67/105	4.129170e-13	4.733680e-10	0	0	4.221832e+00	1.203878e+02	MRPS17;MRPS15;MRPS16;GFM2;MRPS14;MRPS11;MRPS12;MRPL38;MRPL39;MRPS10;MRPL34;MRPL35;MRPL3;MRPL42;MRPL2;MRPL1;MRPL9;CHCHD1;MRPS28;TSFM;MRPS26;MRPS27;MRPS24;MRPS22;MRPS23;MRPL49;MRPS18A;MRPS21;MRPL47;MRPL48;MRPL45;MRPL46;MRPS6;MRPL43;MRPS5;MRPS18C;MRPL44;MRPL52;OXA1L;MRPL53;MRPS9;MRPL51;AURKAIP1;MRRF;MRPS35;MRPS33;MRPL19;MRPL17;MRPL14;MTIF2;MRPL15;MRPL12;MRPL10;MRPL54;MRPL11;MRPL55;MRPL20;IARS2;GADD45GIP1;PTCD3;NDUFA7;MRPL27;GATC;MRPL28;ERAL1;MRPL21;MRPL30
GO_Biological_Process_2021	translation (GO:0006412)	112/214	2.593729e-12	2.477876e-09	0	0	2.637484e+00	7.036260e+01	RPL4;RPL5;RPL3;RPL32;RPL31;RPL34;APEH;RPL10A;YARS2;RPL6;RPS15;RPS17;RPS16;RPL18A;RPS19;RPS18;RPL36;RPL35;RPL38;RPL37;RPS10;RPS13;RPS12;RPS9;RPS7;RPS8;RPL23;RPS5;RPL22;MRPS18A;RPSA;GTPBP1;MRPS18C;PPA2;RPL24;RPL27;RPL26;UBA52;MRPL10;MRPL11;EEFSEC;RPL41;MRPL27;MRPL28;RPS26;AIMP2;RPS27;RPS29;RPL27A;RPS20;RPS21;RSL24D1;FARSB;RPS23;MRPS17;HBS1L;MRPS15;MRPS16;GFM2;MRPS14;MRPS11;RPLP1;MRPS12;RPLP0;MRPL34;MRPL35;MRPL42;TRMT112;MRPL3;RPL7A;MRPL2;EEF2K;RPLP2;MRPL9;MRPS28;TSFM;MRPS24;MRPS21;DARS2;MRPL47;RPS3A;MRPS6;MRPL43;MRPS5;MRPL52;MRPL51;SARS2;RPL37A;EEF1E1;MRRF;MRPS33;RPL11;RRBP1;MRPL55;RPS15A;RPS3;IARS2;IGF2BP3;RPL15;RPS2;RPS27A;RPL19;PTCD3;NDUFA7;GATC;RPL35A;RPL23A;RPS6KB2;DRG2;RPL22L1;ABCE1;RPL26L1
GO_Biological_Process_2021	cytoplasmic translation (GO:0002181)	60/93	3.427521e-12	2.640788e-09	0	0	4.349941e+00	1.148349e+02	RPL4;EIF4A1;RPL5;RPL3;RPL32;RPL31;RPL34;RPLP1;RPLP0;RPL10A;RPL6;RPS15;RPL7A;RPS17;RPS16;RPL18A;RPS19;RPS18;RPL36;RPL35;RPL38;RPL37;RPS10;RPS13;RPS12;RPS9;RPS7;RPS8;RPL23;RPS5;RPL22;RPS3A;RPSA;RPL37A;RPL24;RPL27;RPL26;UBA52;RPL11;RPS15A;RPS3;RPL15;RPS2;RPS27A;RPL19;RPL41;RPL35A;RPL23A;RPS26;EIF3M;RPS27;RPS29;EIF3I;RPL27A;DRG2;RPL22L1;RPS20;RPS21;RPL26L1;RPS23
GO_Biological_Process_2021	translational elongation (GO:0006414)	65/104	3.685677e-12	2.640788e-09	0	0	3.989141e+00	1.050204e+02	MRPS17;MRPS15;MRPS16;GFM2;MRPS14;MRPS11;MRPS12;MRPL38;MRPL39;MRPS10;MRPL34;MRPL35;MRPL3;MRPL42;MRPL2;EEF2K;MRPL1;MRPL9;CHCHD1;MRPS28;TSFM;MRPS26;MRPS27;MRPS24;MRPS22;MRPS23;MRPL49;MRPS18A;MRPS21;MRPL47;MRPL48;MRPL45;GTPBP1;MRPL46;MRPS6;MRPL43;MRPS5;MRPS18C;MRPL44;MRPL52;OXA1L;MRPL53;MRPS9;MRPL51;AURKAIP1;MRPS35;MRPS33;MRPL19;MRPL17;MRPL14;MRPL15;MRPL12;MRPL10;MRPL54;MRPL11;MRPL55;MRPL20;EEFSEC;GADD45GIP1;PTCD3;MRPL27;MRPL28;ERAL1;MRPL21;MRPL30
GO_Biological_Process_2021	peptide biosynthetic process (GO:0043043)	90/162	4.882171e-12	3.109400e-09	0	0	2.997602e+00	7.807383e+01	RPL4;MRPS17;RPL5;HBS1L;PCSK1;MRPS15;RPL3;MRPS16;RPL32;RPL31;MRPS14;RPL34;MRPS11;RPLP1;MRPS12;RPLP0;RPL10A;MRPL34;YARS2;MRPL35;RPL6;GGTA1;RPS15;MRPL3;MRPL42;RPL7A;RPS17;RPS16;RPL18A;RPS19;RPS18;RPL36;RPL35;RPLP2;RPL38;RPL37;MRPL9;RPS10;RPS13;RPS12;RPS9;RPS7;RPS8;RPL23;RPS5;RPL22;MRPS18A;MRPS21;RPSA;RPS3A;MRPS6;MRPL43;MRPS5;MRPS18C;MRPL52;MRPL51;RPL37A;RPL24;RPL27;RPL26;MRRF;MRPS33;RPL11;RRBP1;MRPL10;MRPL11;MRPL55;RPS15A;RPS3;IGF2BP3;RPL15;RPS2;RPS27A;RPL19;GGT5;RPL41;MRPL27;MRPL28;RPL35A;RPL23A;RPS26;RPS27;RPS29;RPL27A;RPS6KB2;RPS20;RPS21;RSL24D1;FARSB;RPS23
GO_Biological_Process_2021	SRP-dependent cotranslational protein targeting to membrane (GO:0006614)	58/90	8.396007e-12	4.812591e-09	0	0	4.335179e+00	1.105612e+02	RPL4;RPL5;RPL3;RPL32;RPL31;RPL34;RPLP1;RPLP0;ZFAND2B;RPL10A;RPL6;RPS15;SEC61A2;RPL7A;RPS17;RPS16;RPL18A;RPS19;RPS18;RPL36;RPL35;RPLP2;RPL38;RPL37;RPS10;RPS13;RPS12;RPS9;RPS7;RPS8;RPL23;RPS5;RPL22;RPS3A;RPSA;SRP9;RPL37A;RPL24;RPL27;RPL26;UBA52;RPL11;RPS15A;RPS3;RPL15;RPS2;RPS27A;RPL19;RPL41;RPL35A;RPL23A;RPS26;RPS27;RPS29;RPL27A;RPS20;RPS21;RPS23
