Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Cellular_Component_2021	large ribosomal subunit (GO:0015934)	38/59	3.372981e-08	1.443258e-05	0	0	4.316743e+00	7.426907e+01	RPL4;RPL5;RPL3;RPL32;RPL31;RPL34;RPLP1;RPLP0;RPL11;MRPL17;RPL10A;RPL6;MRPL10;MRPL11;RPL7A;MRPL1;FXR2;RPL18A;RPL36;RPL35;RPLP2;RPL38;RPL37;RPL15;RPL19;RPL39L;RPL41;RPL23;RPL22;RPL35A;RPL23A;RPL27A;RPL37A;RPL24;RPL27;RPL26;RSL24D1;RPL26L1
GO_Cellular_Component_2021	small ribosomal subunit (GO:0015935)	31/45	6.076875e-08	1.443258e-05	0	0	5.278689e+00	8.771170e+01	MRPS16;MRPS14;MRPS11;RPS15;RPS17;RPS15A;RPS16;RPS19;RPS18;RPS3;RPS2;RPS27A;RPS10;RPS13;RPS12;RPS9;RPS7;RPS8;RPS5;RPS3A;RPSA;MRPS6;RPS26;MRPS9;RPS27;RPS29;RPS20;DHX29;RPS21;UBA52;RPS23
GO_Cellular_Component_2021	focal adhesion (GO:0005925)	163/387	9.359177e-08	1.462207e-05	0	0	1.747943e+00	2.828928e+01	RPL4;CYFIP1;NCKAP1;RPL5;RPL3;RPL31;CD81;AVIL;TNC;SLA;RPL10A;PVR;RPL6;RPS15;PPP1CC;RPS17;ALCAM;RPS16;CDH2;RPS19;RPS18;CAPN2;RPL38;CAPN1;RPS10;TNS3;RPS13;TNS1;PDGFRB;RPS9;MAP2K2;RPS7;RPS8;RPL23;RPS5;RPL22;AFAP1;CASK;LMO7;ADAM9;RPL27;LAP3;TLN2;PFN1;TLN1;PPIA;VCL;EPHA2;FBLN7;ABCB4;ARL2;TWF1;IQGAP1;SLC9A1;CNN3;CNN2;FLRT2;INPP5E;PCBP2;PACSIN2;LPXN;PIP5K1C;RSU1;CD99;FZD1;FZD2;CAV3;CAV2;CAV1;HMGA1;MSN;PARVA;PTK2;AIF1L;DAB2;PTPRC;PARVG;ARPC3;RPS29;ITGA11;FAT1;CASS4;PI4KA;ITGBL1;YWHAE;NRP1;FLT1;ITGB4;RPLP1;TGFB1I1;ITGB3;RPLP0;FHL1;ITGB2;GDI2;DOCK7;FHL2;SYNE2;TNFSF13B;MRC2;RPL7A;RAC2;RPLP2;ITGB8;ITGAV;ITGB6;JAK2;GIT1;JAK1;ANXA1;PDCD6IP;DST;ITGA4;ITGA2;ITGA1;NME2;IL16;KIF23;RPS3A;SENP1;ENAH;CTTN;RPL37A;CAT;ITGA8;CDC42EP1;CDH13;MYH9;ARHGEF7;MAPRE1;CD44;ENG;PLEC;RALA;AHNAK;LRP1;STX16;SYNPO2;NEXN;THSD1;EGFR;ADD1;LIMA1;RPS3;CTNNA1;FLNA;PTK2B;FLNB;CD59;RPS2;RPL19;MAPK3;GIT2;SVIL;NPM1;GSN;SPRY4;SORBS3;NFASC;VIM;LIMS2;BCAR1;SNTB2
GO_Cellular_Component_2021	cell-substrate junction (GO:0030055)	165/394	1.231332e-07	1.462207e-05	0	0	1.730733e+00	2.753596e+01	RPL4;CYFIP1;NCKAP1;RPL5;RPL3;RPL31;CD81;AVIL;TNC;SLA;RPL10A;PVR;RPL6;RPS15;PPP1CC;RPS17;ALCAM;RPS16;CDH2;RPS19;RPS18;CAPN2;RPL38;CAPN1;RPS10;TNS3;RPS13;TNS1;PDGFRB;RPS9;MAP2K2;RPS7;RPS8;RPL23;RPS5;RPL22;AFAP1;CASK;LMO7;ADAM9;RPL27;LAP3;TLN2;PFN1;TLN1;PPIA;VCL;EPHA2;FBLN7;ABCB4;ARL2;TWF1;IQGAP1;SLC9A1;CNN3;CNN2;FLRT2;INPP5E;PCBP2;PACSIN2;LPXN;PIP5K1C;RSU1;CD99;FZD1;FZD2;CAV3;CAV2;CAV1;HMGA1;MSN;PARVA;PTK2;AIF1L;DAB2;PTPRC;PARVG;ARPC3;RPS29;ITGA11;FAT1;CASS4;PI4KA;ITGBL1;FERMT3;YWHAE;NRP1;FLT1;ITGB4;RPLP1;TGFB1I1;ITGB3;RPLP0;FHL1;ITGB2;GDI2;DOCK7;FHL2;SYNE2;TNFSF13B;MRC2;RPL7A;RAC2;RPLP2;ITGB8;ITGAV;ITGB6;JAK2;GIT1;JAK1;ANXA1;PDCD6IP;DST;ITGA4;ITGA2;ITGA1;NME2;IL16;KIF23;RPS3A;SENP1;ENAH;CTTN;RPL37A;CAT;ITGA8;CDC42EP1;CDH13;MYH9;ARHGEF7;MAPRE1;CD44;ENG;PLEC;RALA;AHNAK;LRP1;SMPX;STX16;SYNPO2;NEXN;THSD1;EGFR;ADD1;LIMA1;RPS3;CTNNA1;FLNA;PTK2B;FLNB;CD59;RPS2;RPL19;MAPK3;GIT2;SVIL;NPM1;GSN;SPRY4;SORBS3;NFASC;VIM;LIMS2;BCAR1;SNTB2
GO_Cellular_Component_2021	cytosolic large ribosomal subunit (GO:0022625)	35/55	1.822268e-07	1.731155e-05	0	0	4.172917e+00	6.475538e+01	RPL4;RPL5;RPL3;RPL32;RPL31;RPL34;RPLP1;RPLP0;RPL11;RPL10A;RPL6;RPL7A;MRPL1;FXR2;RPL18A;RPL36;RPL35;RPLP2;RPL38;RPL37;RPL15;RPL19;RPL39L;RPL41;RPL23;RPL22;RPL35A;RPL23A;RPL27A;RPL37A;RPL24;RPL27;RPL26;RSL24D1;RPL26L1
GO_Cellular_Component_2021	cytosolic small ribosomal subunit (GO:0022627)	27/40	8.253384e-07	5.782011e-05	0	0	4.948223e+00	6.931209e+01	MRPS11;RPS15;RPS17;RPS15A;RPS16;RPS19;RPS18;RPS3;RPS2;RPS27A;RPS10;RPS13;RPS12;RPS9;RPS7;RPS8;RPS5;RPS3A;RPSA;RPS26;RPS27;RPS29;RPS20;DHX29;RPS21;UBA52;RPS23
GO_Cellular_Component_2021	ribosome (GO:0005840)	37/62	8.520859e-07	5.782011e-05	0	0	3.529038e+00	4.932034e+01	RPL32;RPL31;DHX9;MRPS12;RPL11;RRBP1;RPL10A;RPL6;RPL7A;RPS17;SERP1;LARP1;RPL18A;RPS19;RPS18;RPL36;RPS3;RPL38;RPL15;RPS10;RPS13;RPL19;BTF3;RPS9;RPL41;RPS7;RPL23;RPS5;NR0B1;RPS26;RPS27;RPS29;APEX1;RPL24;RPL27;RPS21;RPS23
GO_Cellular_Component_2021	actin cytoskeleton (GO:0015629)	128/316	2.142665e-05	1.272208e-03	0	0	1.629817e+00	1.752195e+01	WIPF1;AVIL;MYLK3;MYLK;CDH2;CAPN2;PLS3;KNTC1;MYOZ1;SYNPO;PLS1;TMOD1;DAPK1;TPM3;SWAP70;TPM1;ALG2;MYO7B;AFAP1;CASK;ARC;BIN2;SCNN1D;FSCN1;MYADM;AMPH;TLN2;FSCN2;EPHA3;DGKH;MACF1;SPTBN4;CD274;NOTCH3;KLHL14;DHX9;ABCB4;TWF1;IQGAP1;KALRN;CORO1A;CNN3;SPTA1;SCIN;CALD1;ARSJ;LPXN;MARK2;VCAM1;MYO5A;DCDC2;PARVA;NEB;AIF1L;VIL1;MSRA;ARHGAP32;PARVG;ARPC3;MYO5C;HNRNPC;FERMT3;FLT1;WDR1;LMOD1;LSP1;RCSD1;ARHGAP6;PPP1R9B;RND1;AKAP13;PSTPIP2;SH3PXD2B;RAC2;TNKS1BP1;TOPBP1;ANXA1;NCOA5;DDX58;DENND2A;SHROOM2;COBL;SHROOM3;SHROOM1;MTSS1;FGR;HAX1;CTTN;CDC42EP4;RARA;LANCL2;MYH9;KPTN;DBN1;RAPGEF3;RHOQ;GAS7;PLEKHH2;AHNAK;SYNPO2;WAS;NEXN;PDXP;ASAP1;LIMA1;NEURL1B;ABLIM2;ABLIM3;FLNA;FLNB;PDLIM5;WASF1;APBB3;CORIN;SVIL;GSN;SORBS2;NPM3;EFR3B;MYO19;MLPH;MYO1C;AXL;TAOK2;TAF5;TEK;FOXA3;MYO1F
GO_Cellular_Component_2021	polysomal ribosome (GO:0042788)	20/30	2.993383e-05	1.579841e-03	0	0	4.760325e+00	4.958603e+01	BTF3;RPL41;RPL32;DHX9;RPL31;RPL11;NR0B1;RPL10A;RPL6;RPS26;RPL7A;LARP1;RPL18A;RPS29;RPL36;RPL24;RPL38;RPS21;RPL19;RPS23
GO_Cellular_Component_2021	mitochondrial ribosome (GO:0005761)	16/23	8.832179e-05	4.195285e-03	0	0	5.437850e+00	5.075974e+01	NDUFA7;MRPS14;MRPS22;MRPS12;MRPL49;MRPL28;MRPL39;MRPL48;MRPL34;MRPL35;MRPL43;MRPL11;MRPL20;MRPL51;MTG1;MRPL9
