Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Molecular_Function_2021	RNA binding (GO:0003723)	511/1406	1.186636e-08	1.401417e-05	0	0	1.388851e+00	2.534591e+01	RPL4;POP5;RPL5;POP7;RPL3;RPL32;RPL31;DQX1;RPL34;ADARB1;RPL6;RRP9;LSM10;ZC3H12D;ZC3H12C;PSMD4;ZC3H12A;RPL36;RPL35;RPL38;RPL37;MBNL1;MBNL2;DDX11;RPL23;NGDN;RPL22;GTPBP1;GTPBP4;FAM133B;TEP1;CLNS1A;SARNP;UNC50;RPL24;RPL27;RPL26;NOLC1;MRPL14;MRPL15;ZC3HAV1;MRPL12;MRPL10;MRPL11;MTDH;MRPL20;LARP1;S100A16;LTA4H;TOE1;BTF3;HEXIM2;JUN;RPL41;PNO1;MRPL27;MRPL28;NR0B1;PA2G4;MAGOHB;MEX3C;MRPL21;EIF1;CS;SETX;HNRNPL;MEX3A;L1TD1;HNRNPC;CPEB2;CPEB4;SMG1;RPLP0;MRPL39;MECP2;IFIH1;MRPL42;TUBA1B;RRP12;ZC3H10;NSUN5;MRPL45;NUDT16L1;MRPL43;SRP9;MRPL44;CDC42EP4;TCP1;ZNF239;SF3B4;TRUB2;SF3B5;RNASEL;AHNAK;NIP7;SRRT;RPL11;NOC4L;MRPL54;RPS15A;PPP1R8;RPS3;FLNA;FLNB;RPL15;RPS2;RPS27A;RPL19;SF3A3;UTP6;YTHDF1;SF3A2;YTHDF2;CDKN2A;MCRS1;STAT3;NOC3L;TARBP2;LRPPRC;BYSL;PHF5A;ZNFX1;MYBBP1A;APEX1;TRMT6;TSR1;RPL22L1;MSI1;CASC3;APEH;RPL10A;BZW1;IPO5;PPP1CC;ZFP36;HMGN5;ZNF207;KPNA2;MTPAP;SNRNP35;RPS9;SUPT16H;RPS7;RPS8;RPS5;RPSA;ZCRB1;POLRMT;THOC5;ILF2;EBNA1BP2;MRTO4;FSCN1;SNRPG;ERH;SNRPF;SNRNP200;SNRPC;FKBP3;SNRPB;KHDRBS1;KHDRBS3;MAZ;ISG20L2;CORO1A;RAD51AP1;BRIX1;RBPMS;LSM5;LSM4;LSM3;CHERP;LSM2;YRDC;LSM7;LSM6;ACO1;PIN4;RSL24D1;NOP10;WRAP53;ISY1;COL14A1;CELF2;CELF3;CELF5;ZC3H8;DUSP14;SYNE1;DUSP11;MRPL3;NGRN;RPL7A;MRPL2;MRPL1;SART3;SUMO1;SNRNP70;MRPL9;PELP1;EIF5A;ELAC2;SECISBP2L;TSN;SARS2;C1D;RPL37A;NAF1;RP9;EIF4E2;SLC25A11;TRIM56;HDAC2;LRP1;GTPBP10;HSD17B10;MRM1;IFI16;POLR2B;POLR2D;IGF2BP1;IGF2BP3;POLR2G;RBBP6;IGF2BP2;HNRNPA1;EIF4E;NOP56;DUT;SSB;KRR1;CCDC59;IMMT;RPL35A;RPL23A;BICC1;SNRNP40;EIF3I;NOVA2;DRG2;TRIM32;PPIL4;EIF3A;TNRC6A;METAP2;EIF4A1;PPAN;CISD2;NUDT5;CCAR1;IFIT2;RPS15;TIAL1;LGALS3;RPS17;RPS16;SNRPD2;RPL18A;RPS19;SNRPD1;RPS18;DHX57;MAGOH;HABP4;ARL6IP4;DENR;RPS10;RPS13;AGFG1;RPS12;TNS1;ABT1;SRRM3;IMP3;METTL3;IMP4;CRNKL1;JMJD6;DHX40;ARC;XRN1;SUB1;XRN2;CCDC86;TFAM;FLYWCH2;SUCLG1;KCTD12;DNA2;PFN1;EIF1B;MACF1;ANP32A;DHX9;STXBP1;FXR2;PCBP3;PDCD11;PCBP4;DHX35;PCBP1;ERI3;HLTF;PCBP2;DND1;DHX37;CSTF1;RBM12;N4BP1;TRAP1;XRCC5;RCC2;MYO5A;ERAL1;CCT6A;RPS26;RPS27;RPL27A;GOLGB1;SPATS2L;NOL10;RNPS1;RPS20;DHX29;NOL11;RPS21;DCP1B;RPS23;TOP2A;MRPS15;DAZAP1;MRPS14;MRPS11;CCDC124;MRPS12;GDI2;BRCA1;AATF;LARP1B;PCF11;C1QBP;XPO5;CCT3;MRPS28;ZCCHC24;MRPS26;MRPS27;MRPS24;NCOA5;PARP1;PRMT1;MRPS23;NBPF10;MRPS21;TFB2M;PPHLN1;PPRC1;MRPS5;NME1;MRPS9;NFX1;RPUSD2;RPUSD3;FASTKD5;STRAP;ARHGEF1;FAM32A;TLR7;MAPT;MAPRE1;TLR3;MRPS35;HEATR1;NOL7;NOL8;PURA;EXOSC9;CTNNA1;RAE1;EXOSC1;CCT4;TSNAX;NPM1;MYEF2;RFTN1;SORBS2;NPM3;SEC23IP;XPOT;PRKRA;HDGF;FAU;ACAA2;KDM1A;RPP30;BCCIP;YARS2;EFTUD2;FBL;CHCHD1;RPP38;CAST;ZBP1;NANOS1;PUS1;WBP11;PUS7;PRPF6;PSPC1;RPP21;SIDT1;PPIE;PPIA;ZCCHC8;VCP;RBM8A;DDX1;YTHDC2;NOP2;ZCCHC9;RPF2;ZFP36L2;EMG1;RNASEH1;ZMAT3;UBC;LLPH;MARK2;CPSF4;UBE2I;CPSF6;PNPT1;CPSF3;NONO;RPP40;MSN;HELZ;TBCA;EIF2S2;EIF2S1;ANKHD1;LIN28B;UBE2N;MKRN3;LSM14B;ZCCHC3;YWHAE;RBM28;DDX49;DDX47;NVL;HMGB2;PSIP1;YBX1;CHD2;ELAVL2;RBM4;ZC3H7B;MYO18A;LRRFIP1;ZNF385A;RBM5;PSTK;RBM6;TSFM;GLRX3;DDX58;DDX55;RBM18;SPATS2;DARS2;DDX54;RPS3A;DDX52;DDX50;UTP18;DCN;DNM1;PCDHGA9;SUPV3L1;SFPQ;MYH9;RBMS2;PLEC;RBMS3;DDX28;RBM47;DDX27;DDX25;RRBP1;MTIF2;ADD1;TBRG4;NXF2;FAM120C;TRA2B;FAM120A;SMNDC1;RBM38;PTCD3;NAP1L1;NAP1L4;BUD13;FAM98A;NAA15;VIM;SSBP1;RBMX;RAN;RPL26L1;SNTB2
GO_Molecular_Function_2021	ubiquitin ligase inhibitor activity (GO:1990948)	8/8	5.936929e-05	3.505757e-02	0	0	1.125760e+05	1.095560e+06	RPS15;RPL5;RPS7;RPL23;RPL11;RPS20;FBXO5;RPL37
GO_Molecular_Function_2021	G protein-coupled purinergic nucleotide receptor activity (GO:0045028)	9/10	1.289569e-04	5.076604e-02	0	0	2.139534e+01	1.916173e+02	P2RY12;P2RY13;P2RY6;P2RY11;GPR34;P2RY14;GPR171;P2RY1;PTAFR
GO_Molecular_Function_2021	guanyl-nucleotide exchange factor activity (GO:0005085)	64/149	3.649769e-04	9.298876e-02	0	0	1.795939e+00	1.421607e+01	DENND1C;DOCK5;DENND5B;DOCK9;DENND1A;DOCK8;RASGRF2;RASGRF1;DOCK10;PREX2;AKAP13;HERC2;RCC1;SBF1;EIF2B1;SBF2;RALGPS1;PSD;ARHGEF10;ARHGEF15;DENND2A;GAPVD1;VAV1;VAV2;MADD;SPATA13;ELMO1;PREB;RIN3;ARHGEF7;DOCK2;RAPGEF6;RAPGEF3;ARHGEF6;RAPGEF4;MYCBP2;ADRB1;DENND3;RASGRP2;KALRN;RASGRP4;FGD2;CYTH3;FGD3;ABR;FGD5;CYTH4;EPS8L1;EPS8L2;FNIP1;CYTH1;EIF2B2;IQSEC2;DENND4A;DENND4C;HPS1;RAB3IP;HPS4;RGP1;SH3BP5L;NUCB1;RANGRF;RGL1;RAB3GAP1
GO_Molecular_Function_2021	ubiquitin-protein transferase inhibitor activity (GO:0055105)	8/9	3.936865e-04	9.298876e-02	0	0	1.901486e+01	1.490757e+02	RPS15;RPL5;RPS7;RPL23;RPL11;RPS20;FBXO5;RPL37
GO_Molecular_Function_2021	amyloid-beta binding (GO:0001540)	38/80	5.587140e-04	9.741111e-02	0	0	2.155146e+00	1.614177e+01	ACHE;C1QA;LRPAP1;ITGAM;RAMP3;LRP1;CLSTN1;ITGB2;ATP1A3;CACNA1A;ADRB2;CLU;GRIN2A;APBB2;APBB1;APBB3;LDLR;BCHE;CD74;PRNP;FZD5;FZD4;ITGA2;INSR;APOA1;LILRB1;MAPK8IP2;SORL1;GRIN1;BACE1;PFDN2;APBA1;TLR6;PFDN4;PFDN5;TLR4;ITM2A;PICALM
GO_Molecular_Function_2021	ribosomal small subunit binding (GO:0043024)	12/17	5.773732e-04	9.741111e-02	0	0	5.706694e+00	4.255494e+01	PTCD3;NPM1;LARP1;MTIF2;ERAL1;DHX29;ABCE1;CPEB2;EIF1B;EIF1;NME1;UNG
GO_Molecular_Function_2021	DNA N-glycosylase activity (GO:0019104)	7/8	1.188184e-03	1.656452e-01	0	0	1.663520e+01	1.120435e+02	SMUG1;NEIL3;NEIL2;NTHL1;TDG;RPS3;NEIL1
GO_Molecular_Function_2021	small GTPase binding (GO:0031267)	71/175	1.262326e-03	1.656452e-01	0	0	1.628111e+00	1.086731e+01	CYFIP1;NCKAP1;RTKN;LRRK2;DOCK7;ARHGAP1;GCC2;BICD1;BICD2;EPS8;AKAP13;GOLGA4;RUSC2;ARHGDIB;XPO5;RCC1;DNM1L;RNF152;UNC13B;CDKL5;ATP6AP1;NUTF2;RNF41;SIKE1;CDC42EP5;RAB34;CDC42EP4;PEX5;TBC1D7;KCTD13;PIH1D2;BIRC5;RIN3;RAPGEF6;RAPGEF4;RABGAP1;MYCBP2;WAS;IQGAP1;NDRG1;FGD2;STRN3;FGD3;GGA2;FGD5;FLNA;WHAMM;SRGAP2;WASF1;EVI5;RAB11FIP4;ABCA1;RANBP1;RABGAP1L;CAV1;RCC2;HPS4;MYO5A;HPS6;SORL1;LSM2;EHD1;RGP1;PEX5L;MLPH;MYO1C;SGSM3;RANGRF;PKN1;RAB3GAP1;PICALM
GO_Molecular_Function_2021	rRNA binding (GO:0019843)	22/42	1.664214e-03	1.965437e-01	0	0	2.617203e+00	1.674592e+01	DDX28;PTCD3;RPL5;RPS9;MRPS27;MRPS11;RPL23;RPS5;RPL11;RPLP0;PPAN;MRPS18A;ERAL1;RPF2;MRPS6;MRPL11;MRPS18C;NGRN;EMG1;RPS3;FASTKD5;RPS13
