column_name,zero_proportion,zero_count,total_count
TCGA-04-1348-01A-01R-1565-13,0.120451999415518,2473,20531
TCGA-04-1357-01A-01R-1565-13,0.1440748136963616,2958,20531
TCGA-04-1362-01A-01R-1565-13,0.11660415956358677,2394,20531
TCGA-04-1364-01A-01R-1565-13,0.12649164677804295,2597,20531
TCGA-04-1365-01A-01R-1565-13,0.1266377672787492,2600,20531
TCGA-04-1514-01A-01R-1566-13,0.10403779650284935,2136,20531
TCGA-04-1519-01A-01R-1565-13,0.14743558521260533,3027,20531
TCGA-09-0364-01A-02R-1564-13,0.12522526910525547,2571,20531
TCGA-09-0366-01A-01R-1564-13,0.11129511470459305,2285,20531
TCGA-09-0367-01A-01R-1564-13,0.15630022892211778,3209,20531
TCGA-09-0369-01A-01R-1564-13,0.12775802445083045,2623,20531
TCGA-09-1659-01B-01R-1564-13,0.13452827431688666,2762,20531
TCGA-09-1662-01A-01R-1566-13,0.13384637864692417,2748,20531
TCGA-09-1666-01A-01R-1566-13,0.14763041254688034,3031,20531
TCGA-09-1667-01C-01R-1566-13,0.13589206565681164,2790,20531
TCGA-09-1668-01B-01R-1566-13,0.12688130144659296,2605,20531
TCGA-09-1669-01A-01R-1566-13,0.12882957478934295,2645,20531
TCGA-09-1670-01A-01R-1566-13,0.1286834542886367,2642,20531
TCGA-09-1673-01A-01R-1566-13,0.12464078710243047,2559,20531
TCGA-09-1674-01A-01R-1566-13,0.09419901612196191,1934,20531
TCGA-09-2044-01B-01R-1568-13,0.1361355998246554,2795,20531
TCGA-09-2045-01A-01R-1568-13,0.15746919292776776,3233,20531
TCGA-09-2048-01A-01R-1568-13,0.12688130144659296,2605,20531
TCGA-09-2051-01A-01R-1568-13,0.11723734839998051,2407,20531
TCGA-09-2054-01A-01R-1568-13,0.13852223466952412,2844,20531
TCGA-09-2056-01B-01R-1568-13,0.15298816423944278,3141,20531
TCGA-10-0928-01A-02R-1564-13,0.13184939847060542,2707,20531
TCGA-10-0936-01A-01R-1564-13,0.121815790755443,2501,20531
TCGA-13-0730-01A-01R-1564-13,0.12629681944376797,2593,20531
TCGA-13-0799-01A-01R-1564-13,0.11972139691198676,2458,20531
TCGA-13-0800-01A-01R-1564-13,0.11553260922507427,2372,20531
TCGA-13-0801-01A-01R-1564-13,0.14952997905606155,3070,20531
TCGA-13-0890-01A-01R-1564-13,0.12074424041693049,2479,20531
TCGA-13-0893-01B-01R-1565-13,0.13482051531829917,2768,20531
TCGA-13-0897-01A-01R-1564-13,0.160927378111149,3304,20531
TCGA-13-0899-01A-01R-1564-13,0.13116750280064293,2693,20531
TCGA-13-0913-01A-01R-1564-13,0.12050070624908675,2474,20531
TCGA-13-0916-01A-01R-1564-13,0.10788563635478057,2215,20531
TCGA-13-0920-01A-01R-1564-13,0.13345672397837416,2740,20531
TCGA-13-0924-01A-01R-1564-13,0.14855584238468658,3050,20531
TCGA-13-1403-01A-01R-1565-13,0.13491792898543667,2770,20531
TCGA-13-1405-01A-01R-1565-13,0.12493302810384296,2565,20531
TCGA-13-1410-01A-01R-1565-13,0.13014465929569918,2672,20531
TCGA-13-1411-01A-01R-1565-13,0.13097267546636793,2689,20531
TCGA-13-1481-01A-01R-1565-13,0.1113438215381618,2286,20531
TCGA-13-1489-02A-01R-1565-13,0.12824509278651794,2633,20531
TCGA-13-1497-01A-01R-1565-13,0.1383761141688179,2841,20531
TCGA-13-1498-01A-01R-1565-13,0.12488432127027423,2564,20531
TCGA-13-1505-01A-01R-1565-13,0.11830889873849301,2429,20531
TCGA-13-1506-01A-01R-1565-13,0.1379864595002679,2833,20531
TCGA-13-1507-01A-01R-1565-13,0.14933515172178657,3066,20531
TCGA-13-1511-01A-01R-1565-13,0.13443086064974916,2760,20531
TCGA-13-1512-01A-01R-1565-13,0.15688471092494277,3221,20531
TCGA-13-2060-01A-01R-1568-13,0.1505528225610053,3091,20531
TCGA-13-A5FT-01A-11R-A406-31,0.11334080171448054,2327,20531
TCGA-20-1682-01A-01R-1564-13,0.14149335151721787,2905,20531
TCGA-20-1683-01A-01R-1566-13,0.12532268277239297,2573,20531
TCGA-20-1684-01A-01R-1566-13,0.12030587891481175,2470,20531
TCGA-20-1685-01A-01R-1566-13,0.12108518825191174,2486,20531
TCGA-20-1687-01A-01R-1566-13,0.1629730651210365,3346,20531
TCGA-23-1023-01R-01R-1564-13,0.11543519555793678,2370,20531
TCGA-23-1026-01B-01R-1569-13,0.1527933369051678,3137,20531
TCGA-23-1027-01A-02R-1564-13,0.14724075787833033,3023,20531
TCGA-23-1029-01B-01R-1567-13,0.11421752471871803,2345,20531
TCGA-23-1109-01A-01R-1564-13,0.13920413033948664,2858,20531
TCGA-23-1111-01A-01R-1567-13,0.13116750280064293,2693,20531
TCGA-23-1114-01B-01R-1566-13,0.1041839170035556,2139,20531
TCGA-23-1120-01A-02R-1565-13,0.12269251375968049,2519,20531
TCGA-23-1122-01A-01R-1565-13,0.10856753202474308,2229,20531
TCGA-23-1123-01A-01R-1565-13,0.11830889873849301,2429,20531
TCGA-23-1809-01A-01R-1566-13,0.1123179582095368,2306,20531
TCGA-23-2077-01A-01R-1568-13,0.12951147045930544,2659,20531
TCGA-23-2078-01A-01R-1568-13,0.10579124251132434,2172,20531
TCGA-23-2081-01A-01R-1568-13,0.12658906044518045,2599,20531
TCGA-23-2084-01A-02R-1568-13,0.1427110223564366,2930,20531
TCGA-24-0975-01A-02R-1565-13,0.12907310895718668,2650,20531
TCGA-24-1103-01A-01R-1565-13,0.14665627587550534,3011,20531
TCGA-24-1413-01A-01R-1565-13,0.13944766450733037,2863,20531
TCGA-24-1416-01A-01R-1565-13,0.15225756173591154,3126,20531
TCGA-24-1417-01A-01R-1565-13,0.13029077979640544,2675,20531
TCGA-24-1418-01A-01R-1565-13,0.12464078710243047,2559,20531
TCGA-24-1419-01A-01R-1565-13,0.14285714285714285,2933,20531
TCGA-24-1423-01A-01R-1565-13,0.11168476937314305,2293,20531
TCGA-24-1424-01A-01R-1565-13,0.10949296186254931,2248,20531
TCGA-24-1425-01A-02R-1566-13,0.11796795090351177,2422,20531
TCGA-24-1427-01A-01R-1565-13,0.11650674589644927,2392,20531
TCGA-24-1428-01A-01R-1564-13,0.12313087526179924,2528,20531
TCGA-24-1430-01A-01R-1566-13,0.12464078710243047,2559,20531
TCGA-24-1434-01A-01R-1566-13,0.11806536457064926,2424,20531
TCGA-24-1435-01A-01R-1566-13,0.1379864595002679,2833,20531
TCGA-24-1436-01A-01R-1566-13,0.12488432127027423,2564,20531
TCGA-24-1463-01A-01R-1566-13,0.10949296186254931,2248,20531
TCGA-24-1467-01A-01R-1566-13,0.1507476498952803,3095,20531
TCGA-24-1469-01A-01R-1566-13,0.10598606984559934,2176,20531
TCGA-24-1474-01A-01R-1566-13,0.12951147045930544,2659,20531
TCGA-24-1544-01A-01R-1566-13,0.1527933369051678,3137,20531
TCGA-24-1545-01A-01R-1566-13,0.11718864156641176,2406,20531
TCGA-24-1546-01A-01R-1566-13,0.1297550046271492,2664,20531
TCGA-24-1548-01A-01R-1566-13,0.11903950124202425,2444,20531
TCGA-24-1549-01A-01R-1566-13,0.13155715746919291,2701,20531
TCGA-24-1550-01A-01R-1566-13,0.09868004481028689,2026,20531
TCGA-24-1551-01A-01R-1566-13,0.13452827431688666,2762,20531
TCGA-24-1552-01A-01R-1566-13,0.15815108859773025,3247,20531
TCGA-24-1553-01A-01R-1566-13,0.1357459451561054,2787,20531
TCGA-24-1555-01A-01R-1566-13,0.13920413033948664,2858,20531
TCGA-24-1556-01A-01R-1566-13,0.11114899420388681,2282,20531
TCGA-24-1557-01A-01R-1566-13,0.13399249914763042,2751,20531
TCGA-24-1558-01A-01R-1566-13,0.12429983926744922,2552,20531
TCGA-24-1560-01A-01R-1566-13,0.12459208026886172,2558,20531
TCGA-24-1562-01A-01R-1566-13,0.1372071501631679,2817,20531
TCGA-24-1563-01A-01R-1566-13,0.13370025814621792,2745,20531
TCGA-24-1564-01A-01R-1566-13,0.13184939847060542,2707,20531
TCGA-24-1567-01A-01R-1566-13,0.13077784813209292,2685,20531
TCGA-24-1603-01A-01R-1566-13,0.12429983926744922,2552,20531
TCGA-24-1604-01A-01R-1566-13,0.12668647411231795,2601,20531
TCGA-24-1616-01A-01R-1566-13,0.15883298426769277,3261,20531
TCGA-24-1842-01A-01R-1567-13,0.14597438020554285,2997,20531
TCGA-24-1843-01A-01R-1567-13,0.12605328527592422,2588,20531
TCGA-24-1844-01A-01R-1567-13,0.11913691490916176,2446,20531
TCGA-24-1846-01A-01R-1567-13,0.13184939847060542,2707,20531
TCGA-24-1847-01A-01R-1566-13,0.12775802445083045,2623,20531
TCGA-24-1849-01A-01R-1567-13,0.11158735570600556,2291,20531
TCGA-24-1850-01A-01R-1567-13,0.1273196629487117,2614,20531
TCGA-24-1924-01A-01R-1567-13,0.13194681213774292,2709,20531
TCGA-24-1928-01A-01R-1567-13,0.12551751010666798,2577,20531
TCGA-24-1930-01A-01R-1567-13,0.13408991281476793,2753,20531
TCGA-24-2019-01A-02R-1568-13,0.10038478398519313,2061,20531
TCGA-24-2020-01A-01R-1567-13,0.12746578344941795,2617,20531
TCGA-24-2023-01A-01R-1567-13,0.1446592956991866,2970,20531
TCGA-24-2024-01A-02R-1568-13,0.12507914860454922,2568,20531
TCGA-24-2026-01A-01R-1567-13,0.14032438751156787,2881,20531
TCGA-24-2027-01A-01R-1567-13,0.10335590083288686,2122,20531
TCGA-24-2033-01A-01R-1568-13,0.14802006721543032,3039,20531
TCGA-24-2035-01A-01R-1568-13,0.13204422580488043,2711,20531
TCGA-24-2036-01A-01R-1568-13,0.11636062539574302,2389,20531
TCGA-24-2038-01A-01R-1568-13,0.15703083142564903,3224,20531
TCGA-24-2254-01A-01R-1568-13,0.1286834542886367,2642,20531
TCGA-24-2261-01A-01R-1568-13,0.12605328527592422,2588,20531
TCGA-24-2262-01A-01R-1568-13,0.15001704739174906,3080,20531
TCGA-24-2267-01A-01R-1568-13,0.13657396132677416,2804,20531
TCGA-24-2271-01A-01R-1568-13,0.1451463640348741,2980,20531
