gene,rho,pval,padj
SMARCA2|6595,1.0,0.0,0.0
CFH|3075,0.5190143572975534,1.4250572168689616e-22,1.323165625862831e-18
C18orf1|753,0.49004138226211424,5.979394595735401e-20,3.701245254760213e-16
KIAA2026|158358,0.4832861779594871,2.2550009321327185e-19,1.0468841827426146e-15
VLDLR|7436,0.46707377058018945,4.850346936741486e-18,1.801418852305788e-14
DENND4C|55667,0.46409555827068766,8.374828417195786e-18,2.5920093951220957e-14
TARBP2|6895,-0.4616428152546183,1.3079677601382811e-17,3.469851615109697e-14
ZCCHC6|79670,0.45802798466143935,2.5068711736650894e-17,5.819074711870089e-14
STARD13|90627,0.45281103261559286,6.324553962446423e-17,1.3049663009181118e-13
PTGER2|5732,0.4471498993438063,1.6960234673434978e-16,3.1495155788568754e-13
ENTPD3|956,0.4448004253522552,2.5403910661650615e-16,4.288642008971381e-13
SFMBT2|57713,0.4436234533103193,3.1066596405776636e-16,4.807555793793935e-13
NRP2|8828,0.4412303861432047,4.666003149131055e-16,6.66520603687413e-13
EHD2|30846,0.44005170916456604,5.694329463868778e-16,7.224749856594789e-13
SLC1A1|6505,0.43990613716614874,5.835823793695306e-16,7.224749856594789e-13
TACC1|6867,0.43895141710815205,6.853075423439964e-16,7.953850663330008e-13
CDK4|1019,-0.43737335028770175,8.927937010776246e-16,9.7524582523597e-13
LOC92973|92973,0.43309162575305515,1.8172710393234175e-15,1.874817955568659e-12
SMNDC1|10285,-0.4309130225972533,2.599015847951383e-15,2.5401960156030095e-12
GNAQ|2776,0.4291035336254727,3.4915942305910994e-15,3.1960402791440742e-12
C17orf96|100170841,-0.428891189285901,3.614262028111231e-15,3.1960402791440742e-12
DENND3|22898,0.4282896605196384,3.985132899998557e-15,3.3638144524078724e-12
KIAA1432|57589,0.427860572715909,4.272213667740703e-15,3.4493481656497763e-12
APBA1|320,0.4217112963041302,1.1452910125055063e-14,8.861689209261355e-12
MRPL3|11222,-0.418552674253,1.8859324842456257e-14,1.3571195021721507e-11
DPYD|1806,0.418504979723604,1.900113465615289e-14,1.3571195021721507e-11
MDFIC|29969,0.41809588695814964,2.0261140417841317e-14,1.3935162131826415e-11
C10orf81|79949,0.41690877036963014,2.439861764922601e-14,1.589945678057612e-11
