column_name,zero_proportion,zero_count,total_count
TCGA-04-1348-01A-01R-1565-13,0.0928,464,5000
TCGA-04-1357-01A-01R-1565-13,0.1196,598,5000
TCGA-04-1362-01A-01R-1565-13,0.0882,441,5000
TCGA-04-1364-01A-01R-1565-13,0.1044,522,5000
TCGA-04-1365-01A-01R-1565-13,0.0984,492,5000
TCGA-04-1514-01A-01R-1566-13,0.0844,422,5000
TCGA-04-1519-01A-01R-1565-13,0.119,595,5000
TCGA-09-0364-01A-02R-1564-13,0.1072,536,5000
TCGA-09-0366-01A-01R-1564-13,0.0822,411,5000
TCGA-09-0367-01A-01R-1564-13,0.134,670,5000
TCGA-09-0369-01A-01R-1564-13,0.1074,537,5000
TCGA-09-1659-01B-01R-1564-13,0.115,575,5000
TCGA-09-1662-01A-01R-1566-13,0.1076,538,5000
TCGA-09-1666-01A-01R-1566-13,0.1226,613,5000
TCGA-09-1667-01C-01R-1566-13,0.1126,563,5000
TCGA-09-1668-01B-01R-1566-13,0.1016,508,5000
TCGA-09-1669-01A-01R-1566-13,0.1022,511,5000
TCGA-09-1670-01A-01R-1566-13,0.1018,509,5000
TCGA-09-1673-01A-01R-1566-13,0.1052,526,5000
TCGA-09-1674-01A-01R-1566-13,0.0706,353,5000
TCGA-09-2044-01B-01R-1568-13,0.1136,568,5000
TCGA-09-2045-01A-01R-1568-13,0.1312,656,5000
TCGA-09-2048-01A-01R-1568-13,0.1054,527,5000
TCGA-09-2051-01A-01R-1568-13,0.0926,463,5000
TCGA-09-2054-01A-01R-1568-13,0.1158,579,5000
TCGA-09-2056-01B-01R-1568-13,0.128,640,5000
TCGA-10-0928-01A-02R-1564-13,0.1054,527,5000
TCGA-10-0936-01A-01R-1564-13,0.0966,483,5000
TCGA-13-0730-01A-01R-1564-13,0.1048,524,5000
TCGA-13-0799-01A-01R-1564-13,0.0934,467,5000
TCGA-13-0800-01A-01R-1564-13,0.0886,443,5000
TCGA-13-0801-01A-01R-1564-13,0.1252,626,5000
TCGA-13-0890-01A-01R-1564-13,0.0926,463,5000
TCGA-13-0893-01B-01R-1565-13,0.1092,546,5000
TCGA-13-0897-01A-01R-1564-13,0.1408,704,5000
TCGA-13-0899-01A-01R-1564-13,0.1016,508,5000
TCGA-13-0913-01A-01R-1564-13,0.0882,441,5000
TCGA-13-0916-01A-01R-1564-13,0.081,405,5000
TCGA-13-0920-01A-01R-1564-13,0.1136,568,5000
TCGA-13-0924-01A-01R-1564-13,0.1224,612,5000
TCGA-13-1403-01A-01R-1565-13,0.1112,556,5000
TCGA-13-1405-01A-01R-1565-13,0.0986,493,5000
TCGA-13-1410-01A-01R-1565-13,0.1074,537,5000
TCGA-13-1411-01A-01R-1565-13,0.1068,534,5000
TCGA-13-1481-01A-01R-1565-13,0.0896,448,5000
TCGA-13-1489-02A-01R-1565-13,0.1024,512,5000
TCGA-13-1497-01A-01R-1565-13,0.1136,568,5000
TCGA-13-1498-01A-01R-1565-13,0.1054,527,5000
TCGA-13-1505-01A-01R-1565-13,0.0934,467,5000
TCGA-13-1506-01A-01R-1565-13,0.119,595,5000
TCGA-13-1507-01A-01R-1565-13,0.1296,648,5000
TCGA-13-1511-01A-01R-1565-13,0.1116,558,5000
TCGA-13-1512-01A-01R-1565-13,0.1348,674,5000
TCGA-13-2060-01A-01R-1568-13,0.1278,639,5000
TCGA-13-A5FT-01A-11R-A406-31,0.0898,449,5000
TCGA-20-1682-01A-01R-1564-13,0.1168,584,5000
TCGA-20-1683-01A-01R-1566-13,0.1026,513,5000
TCGA-20-1684-01A-01R-1566-13,0.094,470,5000
TCGA-20-1685-01A-01R-1566-13,0.09,450,5000
TCGA-20-1687-01A-01R-1566-13,0.1404,702,5000
TCGA-23-1023-01R-01R-1564-13,0.0922,461,5000
TCGA-23-1026-01B-01R-1569-13,0.1296,648,5000
TCGA-23-1027-01A-02R-1564-13,0.1178,589,5000
TCGA-23-1029-01B-01R-1567-13,0.0852,426,5000
TCGA-23-1109-01A-01R-1564-13,0.1164,582,5000
TCGA-23-1111-01A-01R-1567-13,0.1072,536,5000
TCGA-23-1114-01B-01R-1566-13,0.0752,376,5000
TCGA-23-1120-01A-02R-1565-13,0.0944,472,5000
TCGA-23-1122-01A-01R-1565-13,0.0816,408,5000
TCGA-23-1123-01A-01R-1565-13,0.0916,458,5000
TCGA-23-1809-01A-01R-1566-13,0.0876,438,5000
TCGA-23-2077-01A-01R-1568-13,0.109,545,5000
TCGA-23-2078-01A-01R-1568-13,0.0756,378,5000
TCGA-23-2081-01A-01R-1568-13,0.099,495,5000
TCGA-23-2084-01A-02R-1568-13,0.1188,594,5000
TCGA-24-0975-01A-02R-1565-13,0.103,515,5000
TCGA-24-1103-01A-01R-1565-13,0.1192,596,5000
TCGA-24-1413-01A-01R-1565-13,0.1114,557,5000
TCGA-24-1416-01A-01R-1565-13,0.1278,639,5000
TCGA-24-1417-01A-01R-1565-13,0.1028,514,5000
TCGA-24-1418-01A-01R-1565-13,0.102,510,5000
TCGA-24-1419-01A-01R-1565-13,0.1236,618,5000
TCGA-24-1423-01A-01R-1565-13,0.0878,439,5000
TCGA-24-1424-01A-01R-1565-13,0.088,440,5000
TCGA-24-1425-01A-02R-1566-13,0.0946,473,5000
TCGA-24-1427-01A-01R-1565-13,0.0976,488,5000
TCGA-24-1428-01A-01R-1564-13,0.0942,471,5000
TCGA-24-1430-01A-01R-1566-13,0.0994,497,5000
TCGA-24-1434-01A-01R-1566-13,0.099,495,5000
TCGA-24-1435-01A-01R-1566-13,0.1148,574,5000
TCGA-24-1436-01A-01R-1566-13,0.101,505,5000
TCGA-24-1463-01A-01R-1566-13,0.08,400,5000
TCGA-24-1467-01A-01R-1566-13,0.1228,614,5000
TCGA-24-1469-01A-01R-1566-13,0.0786,393,5000
TCGA-24-1474-01A-01R-1566-13,0.1094,547,5000
TCGA-24-1544-01A-01R-1566-13,0.1342,671,5000
TCGA-24-1545-01A-01R-1566-13,0.0936,468,5000
TCGA-24-1546-01A-01R-1566-13,0.1098,549,5000
TCGA-24-1548-01A-01R-1566-13,0.0918,459,5000
TCGA-24-1549-01A-01R-1566-13,0.1078,539,5000
TCGA-24-1550-01A-01R-1566-13,0.077,385,5000
TCGA-24-1551-01A-01R-1566-13,0.1126,563,5000
TCGA-24-1552-01A-01R-1566-13,0.1376,688,5000
TCGA-24-1553-01A-01R-1566-13,0.1158,579,5000
TCGA-24-1555-01A-01R-1566-13,0.1142,571,5000
TCGA-24-1556-01A-01R-1566-13,0.0866,433,5000
TCGA-24-1557-01A-01R-1566-13,0.1106,553,5000
TCGA-24-1558-01A-01R-1566-13,0.103,515,5000
TCGA-24-1560-01A-01R-1566-13,0.1016,508,5000
TCGA-24-1562-01A-01R-1566-13,0.1074,537,5000
TCGA-24-1563-01A-01R-1566-13,0.1084,542,5000
TCGA-24-1564-01A-01R-1566-13,0.1104,552,5000
TCGA-24-1567-01A-01R-1566-13,0.1082,541,5000
TCGA-24-1603-01A-01R-1566-13,0.099,495,5000
TCGA-24-1604-01A-01R-1566-13,0.1086,543,5000
TCGA-24-1616-01A-01R-1566-13,0.1362,681,5000
TCGA-24-1842-01A-01R-1567-13,0.1228,614,5000
TCGA-24-1843-01A-01R-1567-13,0.1018,509,5000
TCGA-24-1844-01A-01R-1567-13,0.096,480,5000
TCGA-24-1846-01A-01R-1567-13,0.1098,549,5000
TCGA-24-1847-01A-01R-1566-13,0.0978,489,5000
TCGA-24-1849-01A-01R-1567-13,0.0868,434,5000
TCGA-24-1850-01A-01R-1567-13,0.1068,534,5000
TCGA-24-1924-01A-01R-1567-13,0.1106,553,5000
TCGA-24-1928-01A-01R-1567-13,0.1024,512,5000
TCGA-24-1930-01A-01R-1567-13,0.1044,522,5000
TCGA-24-2019-01A-02R-1568-13,0.074,370,5000
TCGA-24-2020-01A-01R-1567-13,0.1028,514,5000
TCGA-24-2023-01A-01R-1567-13,0.1206,603,5000
TCGA-24-2024-01A-02R-1568-13,0.0976,488,5000
TCGA-24-2026-01A-01R-1567-13,0.1164,582,5000
TCGA-24-2027-01A-01R-1567-13,0.0758,379,5000
TCGA-24-2033-01A-01R-1568-13,0.1256,628,5000
TCGA-24-2035-01A-01R-1568-13,0.1062,531,5000
TCGA-24-2036-01A-01R-1568-13,0.083,415,5000
TCGA-24-2038-01A-01R-1568-13,0.1358,679,5000
TCGA-24-2254-01A-01R-1568-13,0.1036,518,5000
TCGA-24-2261-01A-01R-1568-13,0.0982,491,5000
TCGA-24-2262-01A-01R-1568-13,0.131,655,5000
TCGA-24-2267-01A-01R-1568-13,0.1122,561,5000
TCGA-24-2271-01A-01R-1568-13,0.116,580,5000
TCGA-24-2281-01A-01R-1568-13,0.1106,553,5000
TCGA-24-2288-01A-01R-1568-13,0.0968,484,5000
TCGA-24-2289-01A-01R-1568-13,0.0944,472,5000
TCGA-24-2290-01A-01R-1568-13,0.1312,656,5000
TCGA-24-2293-01A-01R-1568-13,0.081,405,5000
TCGA-24-2297-01A-01R-1568-13,0.077,385,5000
TCGA-24-2298-01A-01R-1569-13,0.0994,497,5000
TCGA-25-1312-01A-01R-1565-13,0.0946,473,5000
TCGA-25-1313-01A-01R-1565-13,0.1024,512,5000
TCGA-25-1314-01A-01R-1565-13,0.0942,471,5000
TCGA-25-1315-01A-01R-1565-13,0.0822,411,5000
TCGA-25-1316-01A-01R-1565-13,0.1214,607,5000
TCGA-25-1317-01A-01R-1565-13,0.0844,422,5000
TCGA-25-1318-01A-01R-1565-13,0.106,530,5000
TCGA-25-1319-01A-01R-1565-13,0.098,490,5000
TCGA-25-1320-01A-01R-1565-13,0.087,435,5000
TCGA-25-1321-01A-01R-1565-13,0.0966,483,5000
TCGA-25-1322-01A-01R-1565-13,0.0828,414,5000
TCGA-25-1323-01A-01R-1565-13,0.0888,444,5000
TCGA-25-1324-01A-01R-1565-13,0.0766,383,5000
TCGA-25-1326-01A-01R-1565-13,0.0986,493,5000
TCGA-25-1328-01A-01R-1565-13,0.1158,579,5000
TCGA-25-1329-01A-01R-1565-13,0.096,480,5000
TCGA-25-1623-01A-01R-1566-13,0.0964,482,5000
TCGA-25-1625-01A-01R-1566-13,0.097,485,5000
TCGA-25-1626-01A-01R-1566-13,0.088,440,5000
TCGA-25-1627-01A-01R-1566-13,0.107,535,5000
TCGA-25-1628-01A-01R-1566-13,0.0826,413,5000
