gene,log2FC,pval,mean_high,mean_low,padj
C10orf81|79949,2.1651339094272215,5.999706043716351e-12,7.716432594953383,5.551298685526161,1.2366727424109114e-08
SLC6A10P|386757,-2.031082580068276,1.3506955526837916e-07,3.0232482430224192,5.054330823090695,1.0862435131552183e-05
GPR12|2835,1.9098102301260682,1.3873580212820953e-07,4.918781348636682,3.008971118510614,1.1027860717673071e-05
GAGE12D|100132399,-1.8928742813186388,1.9512702544357397e-06,0.7605412889596443,2.653415570278283,6.804138062037107e-05
HP|3240,1.8807845623649637,1.335721639203637e-06,8.421333614860606,6.540549052495642,5.28337623858596e-05
MAGEA4|4103,-1.7289721492261503,8.983066103537136e-05,2.8829574343909057,4.611929583617056,0.0010324960302770597
FABP6|2172,-1.7210010473528579,1.3901578409224396e-06,3.450760611807423,5.171761659160281,5.429224864621511e-05
GAGE2D|729408,-1.6788420862807207,3.6011261375480726e-05,0.5433814793813926,2.222223565662113,0.0005378783492564758
SLC5A12|159963,-1.6353873888042436,5.730191875648636e-09,2.6816647549023687,4.317052143706612,1.2308227139392573e-06
CADM3|57863,1.6303055714198615,3.9653952735498975e-06,7.528912814801864,5.898607243382003,0.00011494069956191272
MAGEA11|4110,-1.6193468307490007,6.15886483568932e-05,1.9818602580559863,3.601207088804987,0.0007865752630147678
CLDN19|149461,-1.6125974674715868,9.880172207956927e-06,2.3610854126699805,3.9736828801415673,0.0002133726130731187
SSX4|6759,-1.5930478244022197,4.876109592066307e-09,0.5948379276072284,2.187885752009448,1.0768655838383578e-06
GLYATL2|219970,1.5919594186029666,2.5018109160480267e-07,3.1576352906623706,1.565675872059404,1.6171112997772453e-05
SMARCA2|6595,1.5546528528464751,7.738077550923343e-52,10.829345707557678,9.274692854711203,1.4354907664717893e-47
SLC6A13|6540,-1.5483196685006604,1.9374962070517492e-08,3.8127323389787717,5.361052007479432,2.852578741033095e-06
CXCL17|284340,1.5405404334448844,1.925724849327396e-06,9.14590318659703,7.6053627531521455,6.74040031695708e-05
MAGEA9B|728269,-1.525074581615402,2.133696808775063e-06,1.0495637785724652,2.5746383601878673,7.343638126082782e-05
SST|6750,-1.523447206629954,0.0003636142133412638,7.35532737511526,8.878774581745214,0.002888829455660016
CPLX2|10814,-1.5222428654428137,8.113388890075687e-06,4.544674889244632,6.066917754687446,0.0001862765808165768
PLAC1|10761,-1.5172202662404994,1.0534234610076592e-08,2.223625845775169,3.7408461120156686,1.8611484404907703e-06
LHX1|3975,-1.507286567650434,0.0006441193204035787,4.844792393965065,6.352078961615499,0.004441512358878965
CLDN6|9074,-1.5057068583700062,8.695410867097632e-06,8.561726577337735,10.067433435707741,0.00019528882202848448
IGF2BP1|10642,-1.5047668630241096,9.837488053275884e-07,3.36995691977191,4.8747237827960195,4.2738932289536515e-05
FMO2|2327,1.5033801023988635,3.3862250491702156e-07,5.998624231633036,4.495244129234172,2.0461843937184584e-05
APOA1|335,-1.4569043283791032,7.000411946772888e-08,8.973625642769887,10.43052997114899,6.871145080665812e-06
SEMA3E|9723,-1.442920091160067,1.550699328655978e-05,4.9287322953361015,6.3716523864961685,0.00029514528151858125
POU6F2|11281,-1.4320705687060973,1.2538826604472524e-06,2.0798094846598953,3.5118800533659926,5.0787723218246676e-05
SIX3|6496,-1.4314892701511215,3.3537675024405154e-05,2.501357244263559,3.9328465144146807,0.0005116426063961677
IMPG2|50939,-1.4288173699574402,2.756479407093942e-05,4.263411020680124,5.692228390637564,0.00044313180232471067
CT45A5|441521,-1.4220222354865584,1.7027362129933524e-05,1.854361227113249,3.2763834625998074,0.00031555903583656026
ALPPL2|251,-1.4177032024266234,0.00015674027203629,4.274099864801947,5.69180306722857,0.0015513076837116119
PADI3|51702,-1.4048792192961614,4.622293314912261e-07,1.9195938862516417,3.324473105547803,2.5146088939864323e-05
SLCO1A2|6579,-1.3820917693162564,1.2729120783273576e-06,3.3627197201888674,4.744811489505124,5.1446169858498505e-05
CT45A2|728911,-1.341042550906157,6.681666646466467e-06,1.7709981425112207,3.1120406934173777,0.00016395714015687756
GABRE|2564,1.3356598141509686,7.101546247988084e-09,8.725705423793647,7.390045609642678,1.386745099436073e-06
TACR1|6869,1.3327559799597504,1.5258707998331002e-08,6.17173364118373,4.838977661223979,2.3588691006419867e-06
C8orf79|57604,1.3226208444247978,1.988401953206369e-09,4.581251023494612,3.2586301790698147,6.359800798953681e-07
DSCR8|84677,-1.321923389915306,1.6496634553600292e-06,1.3078124150086567,2.6297358049239627,6.056054986195504e-05
