gene,rho,pval,padj
A2M|2,0.34478582667890967,5.370515116375922e-10,4.75816530672124e-08
AAAS|8086,-0.3032936597795766,5.937642403472049e-08,1.929057867369702e-06
ABCA7|10347,0.37455758139797235,1.1642747491113874e-11,2.3224151473941234e-09
ABCC3|8714,0.30089607652359135,7.628208831192307e-08,2.362078994293332e-06
ABHD2|11057,0.3017135192839351,7.005439214322993e-08,2.2058550896541025e-06
ACADL|33,0.33212399826779104,2.4353511510557825e-09,1.5741532823427116e-07
ACSL1|2180,0.38178475417410085,4.321670658775227e-12,1.1291734139568907e-09
ACTL8|81569,-0.30016188289014173,8.232765618659419e-08,2.5037054916680472e-06
ACTR3B|57180,-0.3335328208867201,2.0652482766124186e-09,1.4033853765361531e-07
ADAMTS10|81794,0.33299905689252307,2.1985591976296135e-09,1.4618448629113607e-07
ADAMTSL3|57188,0.40894450762241524,8.329443577905074e-14,4.544691406285795e-11
ADCY4|196883,0.30501563965829154,4.952883289561012e-08,1.662373630706476e-06
ADCY7|113,0.3132502038422713,2.0471832645711965e-08,8.132183456329821e-07
ADCY9|115,0.3508110973142589,2.553141011171154e-10,2.631295494346449e-08
ADRB2|154,0.3201588601090422,9.55181743375515e-09,4.4675084654214995e-07
AHNAK|79026,0.3920813809681409,1.0089635105257878e-12,3.466163348845165e-10
AKT3|10000,0.30347780213654907,5.823934417006705e-08,1.8954352170156384e-06
ALAD|210,0.3483566953580366,3.463013066175815e-10,3.363474104221337e-08
ALKBH2|121642,-0.3413128354688041,8.185738904933407e-10,6.57375075434717e-08
ALOX5|240,0.3140618403120798,1.873690396543787e-08,7.607752053082014e-07
ALS2CL|259173,0.3511897504041593,2.435286246410955e-10,2.5380334357960465e-08
ANKRD29|147463,0.32008213412697034,9.63405576923433e-09,4.4844236360365185e-07
ANTXR2|118429,0.3433101994129011,6.427818840347389e-10,5.4950445763725535e-08
APBA1|320,0.4217112963041302,1.1452910125055064e-14,8.852622322079021e-12
APEX1|328,-0.33762998832935603,1.2726421432000984e-09,9.447772522144315e-08
APOA1|335,-0.35905146778877384,8.999098216308912e-11,1.1279883176401798e-08
APOL1|8542,0.3326610478363688,2.287252889298521e-09,1.5122656910026195e-07
APOL2|23780,0.32254566025403353,7.307060995575563e-09,3.672862932561775e-07
APOL6|80830,0.3001694607366192,8.226296259750511e-08,2.5037054916680472e-06
ARHGAP1|392,0.3201563716988128,9.554473936984615e-09,4.4675084654214995e-07
ARHGAP31|57514,0.32007176575101465,9.645221447784868e-09,4.4844236360365185e-07
ARHGEF10|9639,0.3104553044196654,2.77146868737365e-08,1.0514011374124455e-06
ARHGEF37|389337,0.3254264098295522,5.271889692618738e-09,2.9329011300787824e-07
ARHGEF6|9459,0.34044894238417905,9.083208014618979e-10,7.109814003341632e-08
ARMCX3|51566,0.3226480998084754,7.223150002078629e-09,3.672862932561775e-07
ARNTL|406,0.32269620907290963,7.1840649187326845e-09,3.671393617284023e-07
ARRDC5|645432,0.31443776122153005,1.7982327735458674e-08,7.396677645687224e-07
ASCL1|429,-0.30476846112882444,5.083868461973801e-08,1.6962381985265466e-06
ATP8B1|5205,0.32483541240007996,5.6386305784035275e-09,3.058544908186077e-07
ATP8B4|79895,0.30772634786813746,3.714045315958119e-08,1.3224425077992143e-06
ATXN7|6314,0.3091746026216231,3.1808016044226245e-08,1.1684564468048339e-06
AURKB|9212,-0.36932238101044385,2.350939374254124e-11,4.045532178100293e-09
B4GALT1|2683,0.36701603946286837,3.1912030746948085e-11,4.9747906082910415e-09
BCCIP|56647,-0.3246769836154776,5.7410667266526755e-09,3.0870298216270663e-07
BEGAIN|57596,0.3165133391230345,1.431636112977584e-08,6.190741615815188e-07
BHLHE40|8553,0.3026155679920769,6.375105482999971e-08,2.039044514054008e-06
BICC1|80114,0.34233183945772566,7.237449698677722e-10,5.971991822620165e-08
BICD2|23299,0.3585670572641257,9.575985781922564e-11,1.18429408160297e-08
BMP7|655,-0.3158203168741586,1.5451720806127756e-08,6.589537302861517e-07
C10orf81|79949,0.41690877036963014,2.439861764922601e-14,1.5883189161899173e-11
C10orf82|143379,-0.32686589711825065,4.472634540737174e-09,2.576765321901097e-07
C10orf84|63877,-0.30033144590854155,8.089172021447614e-08,2.476274425245457e-06
C12orf32|83695,-0.37641683857434,9.043654933240032e-12,1.864098251850398e-09
C12orf47|51275,-0.3279227000246353,3.9619137455455985e-09,2.3258690472663413e-07
C12orf73|728568,-0.3943284154052501,7.295441568652381e-13,2.602648779616737e-10
